"","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index"
"Tyrannus_albogularis","38.29 ± 3.53
(17)","15.14 ± 0.74
(36)","8.61 ± 0.48
(35)","6.37 ± 0.37
(33)","17.58 ± 0.75
(36)","28.52 ± 2.29
(26)","105.09 ± 4.86
(26)","91.02 ± 5.79
(26)","27.14 ± 1.76
(26)"
"Tyrannus_caudifasciatus_bahamensis","NaN ± NA
(0)","20.13 ± 0.86
(11)","9.39 ± 0.42
(11)","7.58 ± 0.37
(11)","22.31 ± 0.41
(11)","25.27 ± 1.82
(10)","107.6 ± 3.78
(10)","84.79 ± 2.91
(10)","23.47 ± 1.19
(10)"
"Tyrannus_caudifasciatus_caudifasciatus","NaN ± NA
(0)","19.56 ± 0.9
(62)","8.95 ± 0.42
(62)","7.28 ± 0.33
(52)","22.55 ± 0.68
(63)","23.47 ± 2.25
(50)","103.91 ± 2.75
(51)","85.59 ± 2.83
(43)","22.55 ± 1.73
(50)"
"Tyrannus_caudifasciatus_caymanensis","43.32 ± 5.57
(6)","21.63 ± 0.93
(12)","9.42 ± 0.25
(11)","7.41 ± 0.29
(11)","22.6 ± 0.62
(15)","21.81 ± 1.84
(11)","103.13 ± 2.77
(11)","87.96 ± 3.77
(10)","21.12 ± 1.42
(11)"
"Tyrannus_caudifasciatus_flavescens","NaN ± NA
(0)","19.95 ± 0.67
(21)","8.47 ± 0.22
(21)","7.18 ± 0.24
(21)","22.61 ± 0.47
(21)","23.51 ± 1.17
(21)","104.74 ± 3.24
(21)","83.9 ± 2.41
(21)","22.45 ± 0.84
(21)"
"Tyrannus_caudifasciatus_gabbii","NaN ± NA
(0)","18.3 ± 0.66
(29)","8.89 ± 0.42
(30)","6.71 ± 0.36
(28)","20.95 ± 0.69
(30)","22.55 ± 1.62
(22)","103.41 ± 3.27
(23)","80.71 ± 2.58
(22)","21.8 ± 1.58
(22)"
"Tyrannus_caudifasciatus_jamaicensis","38.5 ± NA
(1)","20.89 ± 0.5
(7)","9.24 ± 0.32
(7)","7.26 ± 0.35
(6)","21.88 ± 0.32
(7)","23.89 ± 0.82
(5)","101.78 ± 2.65
(5)","85.81 ± 2.79
(4)","23.47 ± 0.51
(5)"
"Tyrannus_caudifasciatus_taylori","52.96 ± 0.75
(3)","20.4 ± 0.87
(57)","10 ± 0.52
(58)","7.95 ± 0.34
(43)","23.66 ± 0.75
(58)","24.64 ± 1.63
(51)","113.27 ± 3.1
(51)","92.55 ± 2.33
(48)","21.75 ± 1.22
(51)"
"Tyrannus_couchii","46.32 ± 7.25
(25)","16.82 ± 0.94
(76)","10.32 ± 0.48
(76)","7.69 ± 0.39
(73)","19.51 ± 0.73
(78)","31.44 ± 2.53
(53)","116.44 ± 5.39
(53)","94.41 ± 5.28
(44)","26.98 ± 1.5
(53)"
"Tyrannus_crassirostris_crassirostris","56.36 ± 1.76
(5)","19.95 ± 1.08
(19)","12.46 ± 0.57
(19)","10.36 ± 0.35
(18)","20.34 ± 0.75
(20)","36.24 ± 3.65
(16)","127.23 ± 5.46
(16)","95.71 ± 4.2
(11)","28.44 ± 2.01
(16)"
