"","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail"
"Tyrannus_albogularis","37.05 ± 3.52
(11)","15.03 ± 0.78
(17)","8.74 ± 0.54
(16)","6.5 ± 0.35
(16)","17.68 ± 0.62
(17)","26.96 ± 1.98
(13)","102.46 ± 4.28
(13)","87.06 ± 3.65
(13)"
"Tyrannus_caudifasciatus_bahamensis","NaN ± NA
(0)","19.93 ± 0.46
(4)","9.24 ± 0.41
(4)","7.57 ± 0.48
(4)","22.07 ± 0.5
(4)","24.21 ± 2.2
(4)","105.1 ± 4.33
(4)","83.45 ± 3.2
(4)"
"Tyrannus_caudifasciatus_caudifasciatus","NaN ± NA
(0)","19.36 ± 1.07
(19)","8.92 ± 0.53
(19)","7.32 ± 0.35
(15)","22.37 ± 0.73
(19)","21.74 ± 1.63
(17)","101.49 ± 2.43
(17)","83.87 ± 3.14
(14)"
"Tyrannus_caudifasciatus_caymanensis","38.55 ± 5.73
(2)","20.98 ± 0.52
(2)","9.22 ± 0.35
(2)","7.39 ± 0.69
(2)","22.67 ± 0.66
(3)","21 ± 1.48
(3)","100.46 ± 0.83
(3)","85.4 ± 4.23
(3)"
"Tyrannus_caudifasciatus_flavescens","NaN ± NA
(0)","19.84 ± 0.52
(9)","8.42 ± 0.21
(9)","7.18 ± 0.14
(9)","22.26 ± 0.36
(9)","22.94 ± 1.45
(9)","102.78 ± 3.27
(9)","83.44 ± 2.96
(9)"
"Tyrannus_caudifasciatus_gabbii","NaN ± NA
(0)","18.19 ± 0.65
(12)","9.02 ± 0.4
(13)","6.77 ± 0.42
(12)","21.17 ± 0.59
(13)","21.39 ± 1.75
(8)","103.31 ± 2.67
(8)","78.94 ± 1.59
(8)"
"Tyrannus_caudifasciatus_jamaicensis","NaN ± NA
(0)","20.68 ± 0.74
(3)","9.1 ± 0.1
(3)","6.99 ± 0.31
(2)","21.78 ± 0.4
(3)","23.97 ± 0.13
(2)","102.29 ± 2.69
(2)","85.38 ± NA
(1)"
"Tyrannus_caudifasciatus_taylori","53.7 ± NA
(1)","20.21 ± 0.82
(22)","10.15 ± 0.39
(23)","8.1 ± 0.29
(18)","23.56 ± 0.71
(23)","23.67 ± 1.81
(20)","111.75 ± 3
(20)","92.25 ± 2.01
(18)"
"Tyrannus_couchii","46.36 ± 7.23
(14)","16.92 ± 0.94
(33)","10.49 ± 0.51
(33)","7.82 ± 0.42
(33)","19.59 ± 0.86
(33)","31.35 ± 2.04
(23)","115.7 ± 4.32
(23)","93.05 ± 4.88
(18)"
"Tyrannus_crassirostris_crassirostris","56.72 ± 1.8
(4)","20.3 ± 1.12
(11)","12.56 ± 0.52
(12)","10.48 ± 0.26
(11)","20.46 ± 0.63
(12)","35.65 ± 3.62
(10)","126.32 ± 5.03
(10)","94.36 ± 3.49
(8)"
"Tyrannus_crassirostris_pompalis","NaN ± NA
(0)","20.39 ± 0.85
(21)","12.43 ± 0.89
(22)","10.71 ± 0.45
(21)","20.93 ± 0.72
(22)","37.43 ± 2.56
(17)","128.77 ± 2.92
(17)","93.93 ± 3
(18)"
"Tyrannus_cubensis","NaN ± NA
(0)","26.14 ± 0.69
(17)","14.33 ± 0.49
(18)","11.83 ± 0.47
(18)","23.18 ± 0.88
(18)","32.88 ± 2.89
(12)","127.18 ± 2.88
(12)","93.43 ± 4.67
(6)"
"Tyrannus_dominicensis_dominicensis","47.22 ± 3.72
(6)","20.65 ± 0.97
(32)","11.13 ± 0.5
(32)","8.8 ± 0.46
(31)","18.98 ± 0.56
(36)","32.32 ± 2.5
(26)","111.74 ± 3.71
(26)","84.67 ± 3.34
(21)"
"Tyrannus_dominicensis_vorax","50.87 ± 3.3
(6)","22.91 ± 1.02
(24)","12.6 ± 0.6
(24)","9.34 ± 0.56
(22)","19.55 ± 0.67
(28)","30.88 ± 1.83
(22)","113.44 ± 3.36
(22)","89.29 ± 2.76
(13)"
