"","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail"
"Tyrannus_albogularis","40.58 ± 2.33
(6)","15.24 ± 0.7
(19)","8.51 ± 0.4
(19)","6.24 ± 0.36
(17)","17.48 ± 0.86
(19)","30.08 ± 1.32
(13)","107.72 ± 3.99
(13)","94.98 ± 4.75
(13)"
"Tyrannus_caudifasciatus_bahamensis","NaN ± NA
(0)","20.24 ± 1.04
(7)","9.47 ± 0.44
(7)","7.59 ± 0.33
(7)","22.45 ± 0.3
(7)","25.98 ± 1.25
(6)","109.28 ± 2.48
(6)","85.69 ± 2.59
(6)"
"Tyrannus_caudifasciatus_caudifasciatus","NaN ± NA
(0)","19.65 ± 0.82
(43)","8.96 ± 0.37
(43)","7.27 ± 0.32
(37)","22.63 ± 0.65
(44)","24.36 ± 2.01
(33)","105.13 ± 2.01
(34)","86.42 ± 2.3
(29)"
"Tyrannus_caudifasciatus_caymanensis","45.7 ± 4.24
(4)","21.76 ± 0.96
(10)","9.46 ± 0.23
(9)","7.42 ± 0.21
(9)","22.58 ± 0.64
(12)","22.11 ± 1.96
(8)","104.14 ± 2.56
(8)","89.05 ± 3.28
(7)"
"Tyrannus_caudifasciatus_flavescens","NaN ± NA
(0)","20.03 ± 0.78
(12)","8.51 ± 0.22
(12)","7.18 ± 0.3
(12)","22.88 ± 0.36
(12)","23.94 ± 0.68
(12)","106.21 ± 2.41
(12)","84.25 ± 1.96
(12)"
"Tyrannus_caudifasciatus_gabbii","NaN ± NA
(0)","18.39 ± 0.67
(17)","8.79 ± 0.41
(17)","6.66 ± 0.31
(16)","20.79 ± 0.74
(17)","23.22 ± 1.14
(14)","103.46 ± 3.64
(15)","81.72 ± 2.53
(14)"
"Tyrannus_caudifasciatus_jamaicensis","38.5 ± NA
(1)","21.04 ± 0.22
(4)","9.36 ± 0.4
(4)","7.4 ± 0.32
(4)","21.96 ± 0.28
(4)","23.84 ± 1.15
(3)","101.44 ± 3.17
(3)","85.96 ± 3.4
(3)"
"Tyrannus_caudifasciatus_taylori","52.59 ± 0.56
(2)","20.51 ± 0.9
(35)","9.9 ± 0.57
(35)","7.84 ± 0.34
(25)","23.73 ± 0.78
(35)","25.27 ± 1.15
(31)","114.26 ± 2.79
(31)","92.73 ± 2.52
(30)"
"Tyrannus_couchii","46.27 ± 7.64
(11)","16.74 ± 0.93
(43)","10.18 ± 0.42
(43)","7.59 ± 0.33
(40)","19.45 ± 0.62
(45)","31.51 ± 2.89
(30)","117 ± 6.1
(30)","95.36 ± 5.43
(26)"
"Tyrannus_crassirostris_crassirostris","54.9 ± NA
(1)","19.46 ± 0.87
(8)","12.27 ± 0.63
(7)","10.16 ± 0.4
(7)","20.16 ± 0.92
(8)","37.22 ± 3.82
(6)","128.73 ± 6.28
(6)","99.3 ± 4.35
(3)"
"Tyrannus_crassirostris_pompalis","NaN ± NA
(0)","20.28 ± 0.82
(27)","12.24 ± 0.58
(27)","10.46 ± 0.49
(26)","20.67 ± 0.81
(27)","38.07 ± 3.71
(22)","130.22 ± 3.74
(22)","95.81 ± 3.61
(24)"
"Tyrannus_cubensis","NaN ± NA
(0)","26.08 ± 0.82
(14)","13.92 ± 0.38
(13)","11.55 ± 0.47
(14)","22.86 ± 0.6
(14)","34.45 ± 1.85
(11)","131.01 ± 3.45
(11)","97.85 ± 5.23
(10)"
"Tyrannus_dominicensis_dominicensis","47.74 ± 2.99
(5)","20.64 ± 1.04
(53)","10.97 ± 0.53
(49)","8.57 ± 0.53
(45)","18.58 ± 0.62
(55)","34.16 ± 2.39
(35)","113.86 ± 3.69
(34)","87.37 ± 3.58
(27)"
"Tyrannus_dominicensis_vorax","49.4 ± 2.97
(2)","22.98 ± 1.13
(28)","12.66 ± 0.66
(27)","9.45 ± 0.53
(24)","19.24 ± 0.63
(30)","32.37 ± 2.63
(19)","116 ± 4
(19)","90.71 ± 3.45
(14)"
"Tyrannus_forficatus","40.91 ± 5.88
(12)","13.76 ± 0.49
(39)","7.63 ± 0.35
(41)","6.27 ± 0.27
(38)","19.2 ± 0.72
(45)","47.06 ± 4.11
(37)","123.1 ± 3.88
(37)","221.36 ± 29.98
(43)"
"Tyrannus_melancholicus_despotes","NaN ± NA
(0)","17.64 ± 0.75
(31)","9.73 ± 0.49
(31)","7.54 ± 0.44
(27)","17.81 ± 0.92
(32)","32.81 ± 2.46
(18)","112.8 ± 3.21
(18)","93.58 ± 2.95
(11)"
"Tyrannus_melancholicus_melancholicus","41.51 ± 4.11
(28)","17.71 ± 0.88
(122)","9.73 ± 0.44
(121)","7.51 ± 0.44
(116)","18.1 ± 0.71
(122)","31.56 ± 2.5
(96)","114.72 ± 3.22
(97)","94.22 ± 4.23
(67)"
"Tyrannus_melancholicus_satrapa","42.11 ± 4.66
(41)","17.67 ± 1.07
(103)","9.88 ± 0.64
(103)","7.29 ± 0.38
(101)","19.08 ± 0.89
(106)","29.49 ± 2.13
(66)","112.9 ± 3.7
(66)","93.17 ± 4.29
(53)"
"Tyrannus_niveigularis","33.54 ± 1.58
(8)","14.76 ± 0.51
(10)","8.44 ± 0.62
(11)","6.04 ± 0.32
(11)","18.07 ± 0.81
(11)","25.88 ± 1.88
(10)","103.14 ± 3.43
(10)","78.05 ± 1.89
(11)"
"Tyrannus_savana_circumdatus","NaN ± NA
(0)","12.31 ± 0.46
(19)","6.35 ± 0.26
(19)","5.23 ± 0.26
(19)","17.61 ± 0.34
(19)","34.72 ± 3.34
(17)","105.26 ± 3.98
(17)","229.75 ± 21.9
(16)"
"Tyrannus_savana_monachus_CA","28.76 ± 2.45
(6)","11.29 ± 0.49
(35)","6.4 ± 0.3
(32)","5.19 ± 0.36
(31)","17.28 ± 0.7
(35)","34.01 ± 1.89
(17)","104.22 ± 3.48
(17)","270.67 ± 27.31
(12)"
"Tyrannus_savana_monachus_SA","29 ± NA
(1)","11.82 ± 0.57
(41)","6.35 ± 0.41
(40)","5.37 ± 0.32
(34)","17.33 ± 0.63
(21)","34.85 ± 1.42
(17)","100.92 ± 18.75
(33)","261.72 ± 18.97
(27)"
"Tyrannus_savana_sanctaemartae","NaN ± NA
(0)","12.04 ± 0.26
(9)","6.08 ± 0.19
(9)","5.29 ± 0.2
(9)","17.58 ± 0.44
(9)","36.39 ± 3.19
(5)","105.5 ± 4.58
(5)","239 ± 48.94
(8)"
"Tyrannus_savana_savana","31.08 ± 3.51
(8)","11.37 ± 0.53
(59)","6.54 ± 0.5
(62)","5.39 ± 0.32
(52)","17.86 ± 0.86
(46)","38.8 ± 3.35
(25)","110.91 ± 4.5
(37)","236.8 ± 32.42
(36)"
"Tyrannus_tyrannus","40.64 ± 4.86
(18)","13.97 ± 0.58
(42)","8.18 ± 1.11
(42)","6.43 ± 0.4
(41)","18.68 ± 0.67
(42)","39.35 ± 2.09
(33)","117.68 ± 4.04
(33)","80.17 ± 3.44
(30)"
