"","X","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy","BillPC1","BillPC2","BodyPC1","BodyPC2"
"Tyrannus_albogularis",1,38.29,15.14,8.61,6.37,17.58,28.52,105.09,91.02,27.14,"migratory",-0.710586914345219,-0.0134468692846657,36.2248993690796,5.96318113049502
"Tyrannus_caudifasciatus_bahamensis",2,NA,20.19,9.45,7.52,22.3,25.34,107.99,84.94,23.46,"sedentary",4.25602977480392,1.72258054885666,42.8037254127802,4.34970459882872
"Tyrannus_caudifasciatus_caudifasciatus",3,NA,19.23,8.82,7.21,22.46,23.35,103.44,85.16,22.55,"sedentary",3.25636583114233,1.81304975080504,42.5729167852631,9.33313752643786
"Tyrannus_caudifasciatus_caymanensis",4,43.32,21.63,9.42,7.41,22.6,21.81,103.13,87.96,21.12,"sedentary",5.41962550944838,2.56693308754632,39.8334065180345,10.3055409288813
"Tyrannus_caudifasciatus_flavescens",5,NA,19.95,8.47,7.18,22.61,23.51,104.74,83.9,22.45,"sedentary",3.53922232944341,2.39211458876371,43.8495644288469,7.98106795923816
"Tyrannus_caudifasciatus_gabbii",6,NA,18.28,8.89,6.7,20.97,22.48,103.07,80.71,21.8,"sedentary",2.10267051549595,1.41197257291707,47.0961328715283,9.45550238988201
"Tyrannus_caudifasciatus_jamaicensis",7,38.5,20.22,9.11,7.07,21.79,22.98,100.65,83.59,22.81,"sedentary",3.93324142000081,2.12638908795526,44.0173357929321,12.0561316849719
"Tyrannus_caudifasciatus_taylori",8,52.96,20.38,10.02,7.91,23.65,24.4,112.59,92.19,21.66,"sedentary",4.77718662175548,1.2117772780827,35.6880463655853,0.0912661355607247
"Tyrannus_couchii",9,46.43,16.47,10.17,7.63,19.46,31.19,116.08,93.86,26.85,"partial",1.79546996617739,-0.867758162221795,34.0264125349724,-4.943032610096
"Tyrannus_crassirostris_crassirostris",10,56.36,19.93,12.5,10.36,20.36,36.46,127.05,95.37,28.65,"migratory",6.41444090929455,-1.87273122748794,32.0362595879524,-17.8868577083093
"Tyrannus_crassirostris_pompalis",11,NA,20.28,12.32,10.56,20.79,37.64,129.41,95.11,29.06,"migratory",6.65748919774513,-1.68030083305356,32.6495508425605,-19.9177116414473
"Tyrannus_cubensis",12,NA,26.13,14.18,11.72,23.02,33.78,129.21,96.09,26.12,"sedentary",12.6863724402742,-0.231630896145339,31.8197226299802,-19.4666831099443
"Tyrannus_dominicensis_dominicensis",13,46.69,20.42,10.96,8.55,18.73,33.1,112.65,86.28,29.34,"migratory",5.47465226729654,0.311278532172907,41.2018109922646,-2.05715575720006
"Tyrannus_dominicensis_vorax",14,50.56,22.82,12.63,9.33,19.34,31.29,114.3,89.4,27.36,"sedentary",8.38728465150201,0.149608764763376,38.4666945494292,-3.76921227993584
"Tyrannus_forficatus",15,40.96,13.49,7.64,6.23,19.07,42.47,118.29,181.93,35.75,"migratory",-2.52227863760128,-0.19329077075015,-53.1230165175855,-11.2812242691183
"Tyrannus_melancholicus_despotes",16,NA,17.48,9.64,7.45,17.76,30.78,108.03,90.65,28.7,"sedentary",2.09109598865937,-0.00708339668855328,36.5511616779912,-0.162374831535275
"Tyrannus_melancholicus_melancholicus",17,41.04,17.37,9.7,7.45,18.18,30.38,112.32,91.79,27.04,"partial",2.03089139056787,-0.00104069554084169,35.6711752771633,-1.4339264142347
"Tyrannus_melancholicus_satrapa",18,41.83,17.59,9.93,7.31,19.19,28.4,110.88,90.67,25.59,"partial",2.2335363010833,0.0208718109583973,37.196859217903,0.544395074212235
"Tyrannus_niveigularis",19,34.44,14.67,8.6,6.14,18.22,24.91,101.58,77.12,24.5,"partial",-1.15907488481641,-0.175645717249561,50.4753318161086,10.6860017360927
"Tyrannus_savana_circumdatus",20,NA,12.15,6.37,5.19,17.62,33.77,104,221.53,32.41,"sedentary",-4.54236024796601,0.438329903713138,-94.0552988092923,4.38346567263783
"Tyrannus_savana_monachus_CA",21,27.6,11.23,6.49,5.23,17.43,32.18,100.98,232.56,31.82,"sedentary",-5.25647591007678,-0.162554974914159,-104.249559952339,7.69053070469208
"Tyrannus_savana_monachus_SA",22,26.97,11.55,6.35,5.34,17.35,32.93,100.6,215.54,33.17,"sedentary",-4.97019518489405,0.0522740992249334,-101.910156006169,7.76219227830174
"Tyrannus_savana_sanctaemartae",23,NA,11.98,6.15,5.31,17.56,34.73,102.06,234.44,33.57,"sedentary",-4.73595214907622,0.435513125307702,-124.726579863145,3.83003440500543
"Tyrannus_savana_savana",24,28.82,11.11,6.5,5.28,17.72,35.21,104.97,202.94,33.3,"migratory",-5.32463387421097,-0.298948424893237,-73.1322105833868,2.5701859597669
"Tyrannus_tyrannus",25,40.89,13.47,8.05,6.31,18.83,37.25,114.44,78.73,32.5,"migratory",-2.27363258709727,-0.478955797303302,48.5478734746362,-5.70567437363146
"Tyrannus_verticalis",26,42.75,13.25,7.72,6.53,19.49,38.91,122.51,87.52,31.64,"migratory",-2.60560064068065,-0.534858948868501,39.9802111076506,-13.570806082381
"Tyrannus_vociferans_vociferans",27,46.18,15.01,8.63,6.96,19.79,37.27,126.74,89.56,30.04,"partial",-0.571791109780404,-0.352652091798939,38.2828439168378,-18.3166516058348
"Tyrannus_vociferans_xenopterus",28,NA,14.74,8.36,6.62,19.8,35.99,125.09,90.63,28.65,"sedentary",-1.04005512153409,-0.167212103540324,36.6261089715318,-15.9865065548931
