"","X","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy","BillPC1","BillPC2","BodyPC1","BodyPC2"
"Tyrannus_albogularis",1,15.14,8.61,6.37,17.58,28.52,105.09,91.02,"migratory",-0.717361104022115,-0.00130942493919699,36.5740108356275,5.57447083507408
"Tyrannus_caudifasciatus_bahamensis",2,20.19,9.45,7.52,22.3,25.34,107.99,84.94,"sedentary",4.24835249413587,1.73183688962838,43.1238252230451,3.83572529035638
"Tyrannus_caudifasciatus_caudifasciatus",3,19.23,8.82,7.21,22.46,23.35,103.44,85.16,"sedentary",3.24829513378318,1.82025796922551,42.9430326377227,8.81198137608517
"Tyrannus_caudifasciatus_caymanensis",4,21.63,9.42,7.41,22.6,21.81,103.13,87.96,"sedentary",5.41250558878866,2.57965632714983,40.207832880304,9.78422723718122
"Tyrannus_caudifasciatus_flavescens",5,19.95,8.47,7.18,22.61,23.51,104.74,83.9,"sedentary",3.53053777280044,2.39661969010737,44.2044970578758,7.44178183504505
"Tyrannus_caudifasciatus_gabbii",6,18.28,8.89,6.7,20.97,22.48,103.07,80.71,"sedentary",2.09595198707116,1.42560639237694,47.4646501982106,8.8745833987771
"Tyrannus_caudifasciatus_jamaicensis",7,20.22,9.11,7.07,21.79,22.98,100.65,83.59,"sedentary",3.92618421938874,2.1389774045532,44.4164118778115,11.5229174276714
"Tyrannus_caudifasciatus_taylori",8,20.38,10.02,7.91,23.65,24.4,112.59,92.19,"sedentary",4.76985848249914,1.22254285020892,35.9562579556997,-0.386149311851001
"Tyrannus_couchii",9,16.47,10.17,7.63,19.46,31.19,116.08,93.86,"partial",1.78907308599101,-0.85393855618009,34.2608755370896,-5.31345181480901
"Tyrannus_crassirostris_crassirostris",10,19.93,12.5,10.36,20.36,36.46,127.05,95.37,"migratory",6.40591575832003,-1.86968700776636,32.1450564295381,-18.1919575938712
"Tyrannus_crassirostris_pompalis",11,20.28,12.32,10.56,20.79,37.64,129.41,95.11,"migratory",6.64807921364325,-1.68156661733731,32.7373889293104,-20.2279277324397
"Tyrannus_cubensis",12,26.13,14.18,11.72,23.02,33.78,129.21,96.09,"sedentary",12.6785191654974,-0.223432903484136,31.9002596426111,-19.8260696537841
"Tyrannus_dominicensis_dominicensis",13,20.42,10.96,8.55,18.73,33.1,112.65,86.28,"migratory",5.46762602253991,0.323097941219771,41.4761996866388,-2.45342477037208
"Tyrannus_dominicensis_vorax",14,22.82,12.63,9.33,19.34,31.29,114.3,89.4,"sedentary",8.38186830209925,0.169793708262824,38.7166568485565,-4.16916238271848
"Tyrannus_forficatus",15,13.49,7.64,6.23,19.07,42.47,118.29,181.93,"migratory",-2.53092739250906,-0.190927511270507,-52.9251575709963,-10.6242760106161
"Tyrannus_melancholicus_despotes",16,17.48,9.64,7.45,17.76,30.78,108.03,90.65,"sedentary",2.08406276305715,0.00409396014630962,36.8429061298761,-0.522969753881538
"Tyrannus_melancholicus_melancholicus",17,17.37,9.7,7.45,18.18,30.38,112.32,91.79,"partial",2.02372834114294,0.00947902535350072,35.9427862788511,-1.81851239136384
"Tyrannus_melancholicus_satrapa",18,17.59,9.93,7.31,19.19,28.4,110.88,90.67,"partial",2.22732092867362,0.0362037293234088,37.4848040358559,0.123629580608388
"Tyrannus_niveigularis",19,14.67,8.6,6.14,18.22,24.91,101.58,77.12,"partial",-1.16527317511522,-0.160761055677139,50.8664240293779,10.1174421673556
"Tyrannus_savana_circumdatus",20,12.15,6.37,5.19,17.62,33.77,104,221.53,"sedentary",-4.55110938708441,0.440328726079856,-93.7126664146265,5.36676803142628
"Tyrannus_savana_monachus_CA",21,11.23,6.49,5.23,17.43,32.18,100.98,232.56,"sedentary",-5.26519048234832,-0.160837189238434,-103.875901623917,8.76072867359078
"Tyrannus_savana_monachus_SA",22,11.55,6.35,5.34,17.35,32.93,100.6,215.54,"sedentary",-4.97941025042819,0.0516370562981178,-101.535300283638,8.81077226758818
"Tyrannus_savana_sanctaemartae",23,11.98,6.15,5.31,17.56,34.73,102.06,234.44,"sedentary",-4.7455139699683,0.433392619931189,-124.386725363225,5.13942163264871
"Tyrannus_savana_savana",24,11.11,6.5,5.28,17.72,35.21,104.97,202.94,"migratory",-5.33346410901103,-0.297905198563791,-72.8041226316079,3.36184712201361
"Tyrannus_tyrannus",25,13.47,8.05,6.31,18.83,37.25,114.44,78.73,"migratory",-2.28169506270552,-0.473783860201313,48.7968696034031,-6.11577516145992
"Tyrannus_verticalis",26,13.25,7.72,6.53,19.49,38.91,122.51,87.52,"migratory",-2.61492265121504,-0.536106824170814,40.1446593499734,-13.9057182291753
"Tyrannus_vociferans_vociferans",27,15.01,8.63,6.96,19.79,37.27,126.74,89.56,"partial",-0.580104856569659,-0.348461464545875,38.3887456322302,-18.6776082577735
"Tyrannus_vociferans_xenopterus",28,14.74,8.36,6.62,19.8,35.99,125.09,90.63,"sedentary",-1.04809817513879,-0.161601141398694,36.753355884886,-16.3448710247518
