"","X","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy","BillPC1","BillPC2","BodyPC1","BodyPC2"
"Tyrannus_albogularis",1,38.29,15.14,8.61,6.37,17.58,28.52,105.09,91.02,27.14,"migratory",-0.837060080276739,-0.0334217114348881,38.9168240721859,6.52276174282336
"Tyrannus_caudifasciatus_bahamensis",2,NA,20.13,9.39,7.58,22.31,25.27,107.6,84.79,23.47,"sedentary",4.09471504248195,1.62821915453095,45.6557351269008,5.28323573510158
"Tyrannus_caudifasciatus_caudifasciatus",3,NA,19.56,8.95,7.28,22.55,23.47,103.91,85.59,22.55,"sedentary",3.34612049849911,1.77539805241418,44.8938010443192,9.37861495330253
"Tyrannus_caudifasciatus_caymanensis",4,43.32,21.63,9.42,7.41,22.6,21.81,103.13,87.96,21.12,"sedentary",5.30147432068665,2.52687834036619,42.6085329416872,10.9155014089832
"Tyrannus_caudifasciatus_flavescens",5,NA,19.95,8.47,7.18,22.61,23.51,104.74,83.9,22.45,"sedentary",3.4210311669953,2.34517621239659,46.5918938910751,8.53189569303862
"Tyrannus_caudifasciatus_gabbii",6,NA,18.3,8.89,6.71,20.95,22.55,103.41,80.71,21.8,"sedentary",1.98998224780333,1.38149106130725,49.8554386882062,9.98201387402273
"Tyrannus_caudifasciatus_jamaicensis",7,38.5,20.89,9.24,7.26,21.88,23.89,101.78,85.81,23.47,"sedentary",4.63630064191096,2.35127041163764,44.639785632957,10.926504963327
"Tyrannus_caudifasciatus_taylori",8,52.96,20.4,10,7.95,23.66,24.64,113.27,92.55,21.75,"sedentary",4.6373546378845,1.18200030189621,38.004383539515,-0.0899631119505038
"Tyrannus_couchii",9,46.32,16.82,10.32,7.69,19.51,31.44,116.44,94.41,26.98,"partial",1.79714300647358,-0.906123134513719,36.0521076558481,-4.74042432437627
"Tyrannus_crassirostris_crassirostris",10,56.36,19.95,12.46,10.36,20.34,36.24,127.23,95.71,28.44,"migratory",6.28819401719237,-1.88868656062471,34.009087738056,-17.803557299661
"Tyrannus_crassirostris_pompalis",11,NA,20.33,12.32,10.57,20.78,37.79,129.59,95,29.14,"migratory",6.57338600745006,-1.72466036729165,35.1942461490375,-19.576846128013
"Tyrannus_cubensis",12,NA,26.11,14.16,11.7,23.04,33.63,129.01,96.19,26.05,"sedentary",12.5249654158891,-0.293186172178521,34.1852874012184,-18.5508723987809
"Tyrannus_dominicensis_dominicensis",13,47.45,20.64,11.03,8.66,18.73,33.38,112.94,86.19,29.51,"migratory",5.6313297879678,0.305252363143608,43.8619107574566,-1.84006416911084
"Tyrannus_dominicensis_vorax",14,50.5,22.95,12.63,9.39,19.39,31.57,114.63,90.03,27.52,"sedentary",8.38524390134634,0.162013944459533,40.4076282053892,-3.81400272425474
"Tyrannus_forficatus",15,39.9,13.58,7.66,6.28,19.04,45.1,120.93,200.52,37.2,"migratory",-2.54088059366406,-0.216280942130653,-73.0554372368271,-13.1746738563399
"Tyrannus_melancholicus_despotes",16,NA,17.56,9.74,7.5,17.77,31.22,110.1,91.57,28.31,"sedentary",2.10598919766866,-0.0423108234447212,38.2962608512449,-0.229827153986379
"Tyrannus_melancholicus_melancholicus",17,42.34,17.59,9.74,7.55,18.18,30.67,113,92.8,27.14,"partial",2.11618381477597,0.0027779596566612,37.1397803358395,-1.96556828574221
"Tyrannus_melancholicus_satrapa",18,42,17.67,9.97,7.34,19.19,28.63,111.38,91.17,25.68,"partial",2.19650386487437,-0.000703499678737234,39.3400878281375,0.620586706889212
"Tyrannus_niveigularis",19,33.92,14.71,8.56,6.14,18.12,25.35,102.66,77.74,24.67,"partial",-1.25497161328497,-0.15015115506397,52.5315736691449,9.98599166634532
"Tyrannus_savana_circumdatus",20,NA,12.14,6.34,5.19,17.59,33.82,104.07,222.21,32.42,"sedentary",-4.69708822621365,0.430213595039031,-92.0559307860338,6.04644478175078
"Tyrannus_savana_monachus_CA",21,27.51,11.26,6.51,5.2,17.39,32.44,101.56,238.98,31.9,"sedentary",-5.36424965283585,-0.163325017603605,-108.653910296718,8.81755185101841
"Tyrannus_savana_monachus_SA",22,26.98,11.65,6.36,5.35,17.25,33.42,100.8,230.95,33.66,"sedentary",-5.02440780920335,0.0625324733055082,-107.648031422907,9.37504236442541
"Tyrannus_savana_sanctaemartae",23,NA,12.07,6.12,5.32,17.5,34.73,103.25,234.44,33.57,"sedentary",-4.78625505130004,0.470948050756821,-122.050287820595,5.9037582672594
"Tyrannus_savana_savana",24,30.55,11.3,6.56,5.37,17.83,36.44,108.17,216.27,33.81,"migratory",-5.1942421872383,-0.29486620427562,-88.3833502887809,2.47765632938356
"Tyrannus_tyrannus",25,40.61,13.83,8.14,6.46,18.7,38.47,116.42,79.77,33.03,"migratory",-2.04335328004038,-0.45210902378506,50.1381869807414,-7.11661060630996
"Tyrannus_verticalis",26,44.06,13.44,7.78,6.64,19.41,40.04,123.9,88.2,32.21,"migratory",-2.50390255336735,-0.558224498125508,41.7210968460865,-14.7654068739085
"Tyrannus_vociferans_vociferans",27,46.07,15.16,8.67,7.01,19.79,37.9,127.48,89.73,30.47,"partial",-0.539016497833769,-0.352943212131451,40.5124210026139,-18.7174736314355
"Tyrannus_vociferans_xenopterus",28,NA,14.74,8.36,6.62,19.8,35.99,125.09,90.63,28.65,"sedentary",-1.16660830131392,-0.196570744439472,39.0982186681576,-15.4548900584272
