"","X","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy","BillPC1","BillPC2","BodyPC1","BodyPC2"
"Tyrannus_albogularis",1,15.03,8.74,6.5,17.68,26.96,102.46,87.06,"migratory",-0.700424558599012,-0.0681646426406407,28.276520465767,5.12874602164273
"Tyrannus_caudifasciatus_bahamensis",2,19.93,9.24,7.57,22.07,24.21,105.1,83.45,"sedentary",3.98890836640636,1.81582988054215,32.4010241801771,3.53688688150505
"Tyrannus_caudifasciatus_caudifasciatus",3,18.88,8.78,7.3,22.32,21.82,101.31,83.78,"sedentary",3.29407109813502,1.89103713514994,32.267938947913,7.81137809690564
"Tyrannus_caudifasciatus_caymanensis",4,20.98,9.22,7.39,22.67,21,100.46,85.4,"sedentary",4.78478408977588,2.49735952996481,30.7159527674431,8.94183776198636
"Tyrannus_caudifasciatus_flavescens",5,19.84,8.42,7.18,22.26,22.94,102.78,83.44,"sedentary",3.43543493360913,2.51363944205095,32.517457854739,6.11768189648605
"Tyrannus_caudifasciatus_gabbii",6,18.16,9.02,6.77,21.09,21.33,102.43,78.94,"sedentary",2.13033644414977,1.3515861016251,37.1035472462668,5.9107094194607
"Tyrannus_caudifasciatus_jamaicensis",7,20.35,9.1,7.23,21.71,22.43,100.79,83.06,"sedentary",4.15366774261626,2.34015587793716,33.0057626241243,8.17137005507522
"Tyrannus_caudifasciatus_taylori",8,20.15,10.07,8.07,23.55,23.47,111.28,92.4,"sedentary",4.70166242109963,1.08885738285914,23.4574844714362,-2.14636525444019
"Tyrannus_couchii",9,16.36,10.32,7.78,19.5,31.17,115.53,92.75,"partial",2.01049113579486,-0.83994380009947,22.9480696903711,-8.29250661039921
"Tyrannus_crassirostris_crassirostris",10,20.3,12.56,10.48,20.47,35.51,125.86,94.19,"migratory",6.78453122348295,-1.65545140571263,20.3887328821175,-18.8993089850693
"Tyrannus_crassirostris_pompalis",11,20.27,12.42,10.68,20.93,37.12,128.42,94.22,"migratory",6.77229380156685,-1.65893998146381,20.6112527098703,-22.5856307641116
"Tyrannus_cubensis",12,26.14,14.33,11.83,23.18,32.88,127.18,93.43,"sedentary",12.8376098739835,-0.217626267969802,21.5651946820863,-20.9756232550831
"Tyrannus_dominicensis_dominicensis",13,20.58,11.12,8.73,18.99,32.02,111.49,84.79,"migratory",5.69411508899154,0.331801190486172,30.4587088043166,-4.84802681206993
"Tyrannus_dominicensis_vorax",14,22.98,12.67,9.31,19.53,30.73,113.46,89.35,"sedentary",8.56933710782613,0.365453344693429,25.9900525187483,-6.37246334418232
"Tyrannus_forficatus",15,13.28,7.68,6.28,18.97,38.16,113.33,143.74,"migratory",-2.65625537905495,-0.193668688331925,-27.9372961586259,-6.50153271855028
"Tyrannus_melancholicus_despotes",16,17.26,9.7,7.27,17.61,27.98,104.3,87.14,"sedentary",1.81498139126627,0.0398749920432572,28.0365486227564,2.9784579171928
"Tyrannus_melancholicus_melancholicus",17,17.21,9.67,7.49,18.29,29.37,110.41,89.9,"partial",1.88550993924681,0.0602256457665884,25.436843733054,-3.07855595486985
"Tyrannus_melancholicus_satrapa",18,17.58,10.04,7.41,19.32,27.58,109.33,88.45,"partial",2.28858368934932,0.05389296731893,27.2923311676897,-1.39909935217939
"Tyrannus_niveigularis",19,14.63,8.79,6.33,18.35,24.2,101.26,76.71,"partial",-1.0570473822912,-0.229396872422443,39.1792838262402,7.02823258795958
"Tyrannus_savana_circumdatus",20,11.48,6.29,5.01,17.49,30.74,100.03,182,"sedentary",-5.19515576864957,0.352807268170484,-66.2978979535327,10.23273179368
"Tyrannus_savana_monachus_CA",21,11.12,6.66,5.25,17.69,30.13,97.21,175.4,"sedentary",-5.25912092867138,-0.198020582832581,-59.6172098811812,12.6764511948779
"Tyrannus_savana_monachus_SA",22,11.35,6.35,5.32,17.24,31.68,100.3,181.42,"sedentary",-5.10525608487307,0.12705809804467,-78.3797397006819,11.674529472112
"Tyrannus_savana_sanctaemartae",23,12.03,6.38,5.45,17.69,31.95,99.5,198,"sedentary",-4.54661809399699,0.390770124543068,-82.3606441222039,11.3353111563315
"Tyrannus_savana_savana",24,11.03,6.52,5.33,17.71,33.47,100.15,183.51,"migratory",-5.37053189976904,-0.205271629730099,-70.7308587729049,5.16302604166025
"Tyrannus_tyrannus",25,13.3,8.09,6.41,18.84,35.5,111.93,78.12,"migratory",-2.40300623672821,-0.536438834526581,37.0196812270249,-6.6463447474246
"Tyrannus_verticalis",26,13.14,7.78,6.6,19.53,36,118.56,84.73,"migratory",-2.63313944729003,-0.511429021817268,30.2188231309404,-12.9632045375813
"Tyrannus_vociferans_vociferans",27,15.18,8.76,7.08,19.83,35.51,124.63,88.22,"partial",-0.326138857228156,-0.2533877233392,26.8870842197709,-19.1854672952089
"Tyrannus_vociferans_xenopterus",28,14.64,8.57,6.72,19.65,32.11,120,89.12,"sedentary",-0.98849955345999,-0.258605881682591,26.6882672401441,-12.140778714841
