"","X","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy","BillPC1","BillPC2","BodyPC1","BodyPC2"
"Tyrannus_albogularis",1,37.05,15.03,8.74,6.5,17.68,26.96,102.46,87.06,26.34,"migratory",-0.826601355474636,-0.103172725220582,29.8423588895817,5.65603775696981
"Tyrannus_caudifasciatus_bahamensis",2,NA,19.93,9.24,7.57,22.07,24.21,105.1,83.45,23,"sedentary",3.85815148589578,1.78354113753467,33.9794831567907,4.09844691361016
"Tyrannus_caudifasciatus_caudifasciatus",3,NA,19.36,8.92,7.32,22.37,21.74,101.49,83.87,21.41,"sedentary",3.15670493773556,1.87315133169007,33.7797918148867,8.21724566525073
"Tyrannus_caudifasciatus_caymanensis",4,38.55,20.98,9.22,7.39,22.67,21,100.46,85.4,20.91,"sedentary",4.65212784734249,2.47300934443766,32.332036146517,9.54555160073546
"Tyrannus_caudifasciatus_flavescens",5,NA,19.84,8.42,7.18,22.26,22.94,102.78,83.44,22.32,"sedentary",3.30307171206023,2.4733962454527,34.1115234134041,6.68891434187395
"Tyrannus_caudifasciatus_gabbii",6,NA,18.19,9.02,6.77,21.17,21.39,103.31,78.94,20.73,"sedentary",2.00035146218944,1.33036610526685,38.7062079967349,6.48656653295796
"Tyrannus_caudifasciatus_jamaicensis",7,NA,20.68,9.1,6.99,21.78,23.97,102.29,85.38,23.44,"sedentary",4.34124680139418,2.73035069093573,32.0805874414112,5.07070930782784
"Tyrannus_caudifasciatus_taylori",8,53.7,20.21,10.15,8.1,23.56,23.67,111.75,92.25,21.17,"sedentary",4.6437007597047,1.03423104619461,25.168095061592,-2.12535191606893
"Tyrannus_couchii",9,46.36,16.92,10.49,7.82,19.59,31.35,115.7,93.05,27.09,"partial",1.9849625891533,-0.858776488159759,24.1347931265169,-8.01764572348363
"Tyrannus_crassirostris_crassirostris",10,56.72,20.3,12.56,10.48,20.46,35.65,126.32,94.36,28.17,"migratory",6.66283384702065,-1.68835677138114,21.5614374593104,-19.0101772181667
"Tyrannus_crassirostris_pompalis",11,NA,20.39,12.43,10.71,20.93,37.43,128.77,93.93,29.05,"migratory",6.76072863097876,-1.65724438559803,22.3377925669394,-22.5566577154902
"Tyrannus_cubensis",12,NA,26.14,14.33,11.83,23.18,32.88,127.18,93.43,25.84,"sedentary",12.7119494260077,-0.224813099632775,23.0195820505135,-20.3974925324249
"Tyrannus_dominicensis_dominicensis",13,47.22,20.65,11.13,8.8,18.98,32.32,111.74,84.67,28.89,"migratory",5.64774435629378,0.303395634710408,32.0612769051798,-4.60503373917683
"Tyrannus_dominicensis_vorax",14,50.87,22.91,12.6,9.34,19.55,30.88,113.44,89.29,27.22,"sedentary",8.31556700548736,0.355924600307805,27.5367138952163,-5.94520382855126
"Tyrannus_forficatus",15,38.97,13.27,7.72,6.29,18.77,40.58,115.89,155.72,34.97,"migratory",-2.77017099447837,-0.288812203293883,-41.9050583197308,-8.24845551435141
"Tyrannus_melancholicus_despotes",16,NA,17.38,9.78,7.38,17.69,28.04,104.7,87.14,26.8,"sedentary",1.9130120985619,-0.0424628369172589,29.5895685565266,3.49883055703181
"Tyrannus_melancholicus_melancholicus",17,43.13,17.43,9.76,7.61,18.27,29.56,110.83,90.53,26.65,"partial",2.03382348118414,0.0379346949392643,26.2138652771017,-3.18839773640597
"Tyrannus_melancholicus_satrapa",18,41.84,17.67,10.09,7.42,19.35,27.67,109.71,88.9,25.21,"partial",2.26237321161896,0.0520454727759611,28.3666257639342,-1.36755669099214
"Tyrannus_niveigularis",19,34.67,14.64,8.77,6.33,18.21,24.28,101.7,77.07,23.86,"partial",-1.17963651708193,-0.248390305285631,40.3899038526591,7.10140217727985
"Tyrannus_savana_circumdatus",20,NA,11.48,6.29,5.01,17.49,30.74,100.03,182,30.73,"sedentary",-5.32195800819169,0.28993409417826,-64.7039226279187,11.2015084804237
"Tyrannus_savana_monachus_CA",21,25,11.19,6.76,5.23,17.64,30.01,97.43,184.66,30.78,"sedentary",-5.30559216695127,-0.275706426400357,-67.2983432218221,12.7469306209141
"Tyrannus_savana_monachus_SA",22,26.48,11.46,6.36,5.33,17.15,31.68,100.67,191.39,31.9,"sedentary",-5.16720030537079,0.0869981559696856,-76.7754080150026,12.7081164534687
"Tyrannus_savana_sanctaemartae",23,NA,12.17,6.27,5.43,17.27,31.95,99.5,198,32.12,"sedentary",-4.60731939255218,0.480129678442102,-80.7688440777117,12.3576849983199
"Tyrannus_savana_savana",24,29.5,11.2,6.59,5.33,17.79,33.75,104.12,187.85,32.42,"migratory",-5.29535601223254,-0.227287722974632,-74.8074651151712,5.90577852189797
"Tyrannus_tyrannus",25,40.57,13.57,8.08,6.51,18.75,36.38,113.44,78.85,32.06,"migratory",-2.22814405363137,-0.455359177616685,37.6699046774112,-7.53100930656027
"Tyrannus_verticalis",26,43.8,13.28,7.85,6.73,19.5,36.71,119.56,85.2,30.56,"migratory",-2.56456671631575,-0.601790169954468,31.1171693388471,-13.8007821064379
"Tyrannus_vociferans_vociferans",27,46.71,15.23,8.75,7.07,19.81,35.95,125.17,88.21,28.69,"partial",-0.421409659407526,-0.256258057117556,28.3277888466732,-19.0070395312981
"Tyrannus_vociferans_xenopterus",28,NA,14.64,8.57,6.72,19.65,32.11,120,89.12,26.75,"sedentary",-1.11393211828923,-0.304040307921531,28.18302120165,-11.5857277086211
