"","X","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy","BillPC1","BillPC2","BodyPC1","BodyPC2"
"Tyrannus_albogularis",1,40.58,15.24,8.51,6.24,17.48,30.08,107.72,94.98,27.93,"migratory",0.820376696006292,-0.122583179423887,45.0783938011299,8.35837127248003
"Tyrannus_caudifasciatus_bahamensis",2,NA,20.24,9.47,7.59,22.45,25.98,109.28,85.69,23.79,"sedentary",-4.12128170808087,1.51574766648238,51.8032287283055,7.07108084623669
"Tyrannus_caudifasciatus_caudifasciatus",3,NA,19.65,8.96,7.27,22.63,24.36,105.13,86.42,23.14,"sedentary",-3.37367795754414,1.66863564946947,51.0421668512722,11.159808244236
"Tyrannus_caudifasciatus_caymanensis",4,45.7,21.76,9.46,7.42,22.58,22.11,104.14,89.05,21.21,"sedentary",-5.33270333965116,2.40278181587236,48.7514477654435,12.6769405132203
"Tyrannus_caudifasciatus_flavescens",5,NA,20.03,8.51,7.18,22.88,23.94,106.21,84.25,22.55,"sedentary",-3.4521828443772,2.24151873082392,52.7385700283258,10.3083983162156
"Tyrannus_caudifasciatus_gabbii",6,NA,18.39,8.79,6.66,20.79,23.22,103.46,81.72,22.41,"sedentary",-2.01457713517767,1.27483455261753,56.0015751741646,11.7507365971458
"Tyrannus_caudifasciatus_jamaicensis",7,38.5,21.04,9.36,7.4,21.96,23.84,101.44,85.96,23.5,"sedentary",-4.66657327270791,2.23135356124283,50.7921910834464,12.7172085673892
"Tyrannus_caudifasciatus_taylori",8,52.59,20.51,9.9,7.84,23.73,25.27,114.26,92.73,22.12,"sedentary",-4.6612406030984,1.06516109214498,44.1383048023013,1.6727769685472
"Tyrannus_couchii",9,46.27,16.74,10.18,7.59,19.45,31.51,117,95.36,26.9,"partial",-1.8086353102086,-1.01200716167485,42.2035479724539,-2.90788376290177
"Tyrannus_crassirostris_crassirostris",10,54.9,19.46,12.27,10.16,20.16,37.22,128.73,99.3,28.88,"migratory",-6.2952642655898,-2.00703103586469,40.1588579618121,-15.9428087756117
"Tyrannus_crassirostris_pompalis",11,NA,20.28,12.24,10.46,20.67,38.07,130.22,95.81,29.2,"migratory",-6.58186021822171,-1.83972469378317,41.3440977039598,-17.7123725162536
"Tyrannus_cubensis",12,NA,26.08,13.92,11.55,22.86,34.45,131.01,97.85,26.28,"sedentary",-12.540482559231,-0.453103172206924,40.3214473660836,-16.7326275263896
"Tyrannus_dominicensis_dominicensis",13,47.74,20.64,10.97,8.57,18.58,34.16,113.86,87.37,29.98,"migratory",-5.64997987059838,0.180557392574923,50.0278057803051,0.0264021811880073
"Tyrannus_dominicensis_vorax",14,49.4,22.98,12.66,9.45,19.24,32.37,116,90.71,27.88,"sedentary",-8.40214795876668,0.0123892464871774,46.5644063876801,-1.96969009550897
"Tyrannus_forficatus",15,40.91,13.76,7.63,6.27,19.2,47.06,123.1,221.36,38.17,"migratory",2.52406898236048,-0.283771571341201,-66.8823675154823,-11.1687545942337
"Tyrannus_melancholicus_despotes",16,NA,17.64,9.73,7.54,17.81,32.81,112.8,93.58,29.07,"sedentary",-2.12268534490534,-0.147124827583559,44.4600242622926,1.62996382419481
"Tyrannus_melancholicus_melancholicus",17,41.51,17.71,9.73,7.51,18.1,31.56,114.72,94.22,27.54,"partial",-2.13328594970669,-0.100547318545161,43.2943263055263,-0.130578409050826
"Tyrannus_melancholicus_satrapa",18,42.11,17.67,9.88,7.29,19.08,29.49,112.9,93.17,26.11,"partial",-2.21298524085433,-0.110734946383034,45.4918629838733,2.43856222319902
"Tyrannus_niveigularis",19,33.54,14.76,8.44,6.04,18.07,25.88,103.14,78.05,25.07,"partial",1.23922691785325,-0.239825532801303,58.6894599093907,11.7908467595772
"Tyrannus_savana_circumdatus",20,NA,12.31,6.35,5.23,17.61,34.72,105.26,229.75,32.92,"sedentary",4.67651140440992,0.375409302588863,-85.8950207041096,7.98000377171298
"Tyrannus_savana_monachus_CA",21,28.76,11.29,6.4,5.19,17.28,34.01,104.22,270.67,32.63,"sedentary",5.34713901224205,-0.215201967451978,-102.496224120469,10.7463685898039
"Tyrannus_savana_monachus_SA",22,29,11.82,6.35,5.37,17.33,34.85,100.92,261.72,35.11,"sedentary",5.00567086920985,0.0122672977370937,-101.488716005606,11.307021710688
"Tyrannus_savana_sanctaemartae",23,NA,12.04,6.08,5.29,17.58,36.39,105.5,239,34.44,"sedentary",4.76496731761691,0.421619879814342,-115.88887026252,7.86197038472182
"Tyrannus_savana_savana",24,31.08,11.37,6.54,5.39,17.86,38.8,110.91,236.8,35.03,"migratory",5.17769858331522,-0.345760575686649,-82.2197376380256,4.42598613014101
"Tyrannus_tyrannus",25,40.64,13.97,8.18,6.43,18.68,39.35,117.68,80.17,33.44,"migratory",2.02822204465269,-0.525823116488969,56.3157885924595,-5.20389969879944
"Tyrannus_verticalis",26,44.11,13.58,7.72,6.55,19.32,42.41,127.09,90.44,33.38,"migratory",2.48860568181459,-0.621340273410626,47.8893396036235,-12.8579472101532
"Tyrannus_vociferans_vociferans",27,45.72,15.11,8.62,6.96,19.78,39.44,129.27,90.89,31.87,"partial",0.523241973933814,-0.434199124095091,46.6659584977641,-16.8471558073057
"Tyrannus_vociferans_xenopterus",28,NA,14.8,8.21,6.56,19.91,39.87,130.19,91.77,30.56,"sedentary",1.15010552701769,-0.276071513700377,45.2496168448266,-13.5984671336483
