"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Age","Sex","trinomial","tip.label"
"1",8,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","97046","Nacho","American Museum of tural History","1898",9,9,"Colombia","","","Ciega de Santa Marta","",11.26688,-74.1925,11.9,6.1,5.5,17.25,NA,NA,NA,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"2",9,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","97047","Nacho","American Museum of tural History","1899",9,12,"Colombia","","","Ciega de Santa Marta","",11.26688,-74.1925,12.1,6.1,4.9,17.05,NA,NA,177,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"3",10,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","756490","Nacho","American Museum of tural History","",NA,NA,"Bolivia","","","","",-16.370087,-64.15918,12.2,6,5.1,17.35,NA,NA,194,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"4",11,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","72558","Nacho","American Museum of tural History","1899",2,22,"Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,12.4,6.3,5.5,17.65,31,97.5,199,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"5",12,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","72559","Nacho","American Museum of tural History","1899",5,29,"Colombia","Bonda","","Valparaiso, Bonda, Calif.","",1.103078,-75.6265,12.3,6.1,5.3,18.15,NA,NA,226,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"6",13,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","72554","Nacho","American Museum of tural History","1899",1,28,"Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,11.9,5.8,5.2,17.05,38.1,108.5,234,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"7",14,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","756498","Nacho","American Museum of tural History","1899",1,23,"Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,11.8,6,5.3,18,38.8,108.5,293,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"8",15,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","72556","Nacho","American Museum of tural History","1899",1,31,"Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,12.2,5.9,5.4,18.15,38.05,106.5,298,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"9",16,"Tyrannus_savana","sanctaemartae","sedentary","taxonomy","72557","Nacho","American Museum of tural History","1899",2,4,"Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,11.6,6.4,5.4,17.55,36,106.5,291,"Adult","Male","Tyrannus savana sanctaemartae","Tyrannus_savana_sanctaemartae"
"10",17,"Tyrannus_tyrannus","","migratory","taxonomy","47452","Nacho","American Museum of tural History","1889",6,5,"Canada","British Columbia","","Mt. Lehman","",49.11667,-122.383,13.3,7.4,6,18.8,39.35,119,78,"Adult","Male","Tyrannus tyrannus","Tyrannus_tyrannus"
