"","Row.names","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy"
"1","Tyrannus_albogularis","38.29","15.14","8.61","6.37","17.58","28.52","105.09","91.02","27.14","migratory"
"2","Tyrannus_caudifasciatus_bahamensis","NaN","20.13","9.39","7.58","22.31","25.27","107.6","84.79","23.47","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus","NaN","19.56","8.95","7.28","22.55","23.47","103.91","85.59","22.55","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis","43.32","21.63","9.42","7.41","22.6","21.81","103.13","87.96","21.12","sedentary"
"5","Tyrannus_caudifasciatus_flavescens","NaN","19.95","8.47","7.18","22.61","23.51","104.74","83.9","22.45","sedentary"
"6","Tyrannus_caudifasciatus_gabbii","NaN","18.3","8.89","6.71","20.95","22.55","103.41","80.71","21.8","sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis","38.5","20.89","9.24","7.26","21.88","23.89","101.78","85.81","23.47","sedentary"
"8","Tyrannus_caudifasciatus_taylori","52.96","20.4","10","7.95","23.66","24.64","113.27","92.55","21.75","sedentary"
"9","Tyrannus_couchii","46.32","16.82","10.32","7.69","19.51","31.44","116.44","94.41","26.98","partial"
"10","Tyrannus_crassirostris_crassirostris","56.36","19.95","12.46","10.36","20.34","36.24","127.23","95.71","28.44","migratory"
"11","Tyrannus_crassirostris_pompalis","NaN","20.33","12.32","10.57","20.78","37.79","129.59","95","29.14","migratory"
"12","Tyrannus_cubensis","NaN","26.11","14.16","11.7","23.04","33.63","129.01","96.19","26.05","sedentary"
"13","Tyrannus_dominicensis_dominicensis","47.45","20.64","11.03","8.66","18.73","33.38","112.94","86.19","29.51","migratory"
"14","Tyrannus_dominicensis_vorax","50.5","22.95","12.63","9.39","19.39","31.57","114.63","90.03","27.52","sedentary"
"15","Tyrannus_forficatus","39.9","13.58","7.66","6.28","19.04","45.1","120.93","200.52","37.2","migratory"
"16","Tyrannus_melancholicus_despotes","NaN","17.56","9.74","7.5","17.77","31.22","110.1","91.57","28.31","sedentary"
"17","Tyrannus_melancholicus_melancholicus","42.34","17.59","9.74","7.55","18.18","30.67","113","92.8","27.14","partial"
"18","Tyrannus_melancholicus_satrapa","42","17.67","9.97","7.34","19.19","28.63","111.38","91.17","25.68","partial"
"19","Tyrannus_niveigularis","33.92","14.71","8.56","6.14","18.12","25.35","102.66","77.74","24.67","partial"
"20","Tyrannus_savana_circumdatus","NaN","12.14","6.34","5.19","17.59","33.82","104.07","222.21","32.42","sedentary"
"21","Tyrannus_savana_monachus_CA","27.51","11.26","6.51","5.2","17.39","32.44","101.56","238.98","31.9","sedentary"
"22","Tyrannus_savana_monachus_SA","26.98","11.65","6.36","5.35","17.25","33.42","100.8","230.95","33.66","sedentary"
"23","Tyrannus_savana_sanctaemartae","NaN","12.07","6.12","5.32","17.5","34.73","103.25","234.44","33.57","sedentary"
"24","Tyrannus_savana_savana","30.55","11.3","6.56","5.37","17.83","36.44","108.17","216.27","33.81","migratory"
"25","Tyrannus_tyrannus","40.61","13.83","8.14","6.46","18.7","38.47","116.42","79.77","33.03","migratory"
"26","Tyrannus_verticalis","44.06","13.44","7.78","6.64","19.41","40.04","123.9","88.2","32.21","migratory"
"27","Tyrannus_vociferans_vociferans","46.07","15.16","8.67","7.01","19.79","37.9","127.48","89.73","30.47","partial"
"28","Tyrannus_vociferans_xenopterus","NaN","14.74","8.36","6.62","19.8","35.99","125.09","90.63","28.65","sedentary"
