"","Row.names","Mass","BL.Average","BW.Average","BD.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy"
"1","Tyrannus_albogularis","38.29","15.14","8.61","6.37","17.58","105.09","91.02","16.81","migratory"
"2","Tyrannus_caudifasciatus_bahamensis","NaN","20.19","9.45","7.52","22.3","107.99","84.94","20.71","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus","NaN","19.23","8.82","7.21","22.46","103.44","85.16","21.76","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis","43.32","21.63","9.42","7.41","22.6","103.13","87.96","21.91","sedentary"
"5","Tyrannus_caudifasciatus_flavescens","NaN","19.95","8.47","7.18","22.61","104.74","83.9","21.6","sedentary"
"6","Tyrannus_caudifasciatus_gabbii","NaN","18.28","8.89","6.7","20.97","103.07","80.71","20.34","sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis","38.5","20.22","9.11","7.07","21.79","100.65","83.59","21.55","sedentary"
"8","Tyrannus_caudifasciatus_taylori","52.96","20.38","10.02","7.91","23.65","112.59","92.19","21.1","sedentary"
"9","Tyrannus_couchii","46.43","16.47","10.17","7.63","19.46","116.08","93.86","16.82","partial"
"10","Tyrannus_crassirostris_crassirostris","56.36","19.93","12.5","10.36","20.36","127.05","95.37","16.11","migratory"
"11","Tyrannus_crassirostris_pompalis","NaN","20.28","12.32","10.56","20.79","129.41","95.11","16.14","migratory"
"12","Tyrannus_cubensis","NaN","26.13","14.18","11.72","23.02","129.21","96.09","17.84","sedentary"
"13","Tyrannus_dominicensis_dominicensis","46.69","20.42","10.96","8.55","18.73","112.65","86.28","16.65","migratory"
"14","Tyrannus_dominicensis_vorax","50.56","22.82","12.63","9.33","19.34","114.3","89.4","16.94","sedentary"
"15","Tyrannus_forficatus","40.96","13.49","7.64","6.23","19.07","118.29","181.93","16.22","migratory"
"16","Tyrannus_melancholicus_despotes","NaN","17.48","9.64","7.45","17.76","108.03","90.65","16.45","sedentary"
"17","Tyrannus_melancholicus_melancholicus","41.04","17.37","9.7","7.45","18.18","112.32","91.79","16.22","partial"
"18","Tyrannus_melancholicus_satrapa","41.83","17.59","9.93","7.31","19.19","110.88","90.67","17.25","partial"
"19","Tyrannus_niveigularis","34.44","14.67","8.6","6.14","18.22","101.58","77.12","17.95","partial"
"20","Tyrannus_savana_circumdatus","NaN","12.15","6.37","5.19","17.62","104","221.53","16.91","sedentary"
"21","Tyrannus_savana_monachus_CA","27.6","11.23","6.49","5.23","17.43","100.98","232.56","17.33","sedentary"
"22","Tyrannus_savana_monachus_SA","26.97","11.55","6.35","5.34","17.35","100.6","215.54","17.42","sedentary"
"23","Tyrannus_savana_sanctaemartae","NaN","11.98","6.15","5.31","17.56","102.06","234.44","17.14","sedentary"
"24","Tyrannus_savana_savana","28.82","11.11","6.5","5.28","17.72","104.97","202.94","16.83","migratory"
"25","Tyrannus_tyrannus","40.89","13.47","8.05","6.31","18.83","114.44","78.73","16.47","migratory"
"26","Tyrannus_verticalis","42.75","13.25","7.72","6.53","19.49","122.51","87.52","15.96","migratory"
"27","Tyrannus_vociferans_vociferans","46.18","15.01","8.63","6.96","19.79","126.74","89.56","16.02","partial"
"28","Tyrannus_vociferans_xenopterus","NaN","14.74","8.36","6.62","19.8","125.09","90.63","16.07","sedentary"
