"","Row.names","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy"
"1","Tyrannus_albogularis","15.03","8.74","6.5","17.68","26.96","102.46","87.06","migratory"
"2","Tyrannus_caudifasciatus_bahamensis","19.93","9.24","7.57","22.07","24.21","105.1","83.45","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus","18.88","8.78","7.3","22.32","21.82","101.31","83.78","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis","20.98","9.22","7.39","22.67","21","100.46","85.4","sedentary"
"5","Tyrannus_caudifasciatus_flavescens","19.84","8.42","7.18","22.26","22.94","102.78","83.44","sedentary"
"6","Tyrannus_caudifasciatus_gabbii","18.16","9.02","6.77","21.09","21.33","102.43","78.94","sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis","20.35","9.1","7.23","21.71","22.43","100.79","83.06","sedentary"
"8","Tyrannus_caudifasciatus_taylori","20.15","10.07","8.07","23.55","23.47","111.28","92.4","sedentary"
"9","Tyrannus_couchii","16.36","10.32","7.78","19.5","31.17","115.53","92.75","partial"
"10","Tyrannus_crassirostris_crassirostris","20.3","12.56","10.48","20.47","35.51","125.86","94.19","migratory"
"11","Tyrannus_crassirostris_pompalis","20.27","12.42","10.68","20.93","37.12","128.42","94.22","migratory"
"12","Tyrannus_cubensis","26.14","14.33","11.83","23.18","32.88","127.18","93.43","sedentary"
"13","Tyrannus_dominicensis_dominicensis","20.58","11.12","8.73","18.99","32.02","111.49","84.79","migratory"
"14","Tyrannus_dominicensis_vorax","22.98","12.67","9.31","19.53","30.73","113.46","89.35","sedentary"
"15","Tyrannus_forficatus","13.28","7.68","6.28","18.97","38.16","113.33","143.74","migratory"
"16","Tyrannus_melancholicus_despotes","17.26","9.7","7.27","17.61","27.98","104.3","87.14","sedentary"
"17","Tyrannus_melancholicus_melancholicus","17.21","9.67","7.49","18.29","29.37","110.41","89.9","partial"
"18","Tyrannus_melancholicus_satrapa","17.58","10.04","7.41","19.32","27.58","109.33","88.45","partial"
"19","Tyrannus_niveigularis","14.63","8.79","6.33","18.35","24.2","101.26","76.71","partial"
"20","Tyrannus_savana_circumdatus","11.48","6.29","5.01","17.49","30.74","100.03","182","sedentary"
"21","Tyrannus_savana_monachus_CA","11.12","6.66","5.25","17.69","30.13","97.21","175.4","sedentary"
"22","Tyrannus_savana_monachus_SA","11.35","6.35","5.32","17.24","31.68","100.3","181.42","sedentary"
"23","Tyrannus_savana_sanctaemartae","12.03","6.38","5.45","17.69","31.95","99.5","198","sedentary"
"24","Tyrannus_savana_savana","11.03","6.52","5.33","17.71","33.47","100.15","183.51","migratory"
"25","Tyrannus_tyrannus","13.3","8.09","6.41","18.84","35.5","111.93","78.12","migratory"
"26","Tyrannus_verticalis","13.14","7.78","6.6","19.53","36","118.56","84.73","migratory"
"27","Tyrannus_vociferans_vociferans","15.18","8.76","7.08","19.83","35.51","124.63","88.22","partial"
"28","Tyrannus_vociferans_xenopterus","14.64","8.57","6.72","19.65","32.11","120","89.12","sedentary"
