"","Row.names","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy"
"1","Tyrannus_albogularis","15.24","8.51","6.24","17.48","30.08","107.72","94.98","migratory"
"2","Tyrannus_caudifasciatus_bahamensis","20.24","9.47","7.59","22.45","25.98","109.28","85.69","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus","19.41","8.87","7.21","22.58","24.21","104.94","86.19","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis","21.76","9.46","7.42","22.58","22.11","104.14","89.05","sedentary"
"5","Tyrannus_caudifasciatus_flavescens","20.03","8.51","7.18","22.88","23.94","106.21","84.25","sedentary"
"6","Tyrannus_caudifasciatus_gabbii","18.39","8.79","6.66","20.79","23.22","103.46","81.72","sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis","19.89","9.11","7.03","21.7","22.46","99.82","84.42","sedentary"
"8","Tyrannus_caudifasciatus_taylori","20.49","9.96","7.83","23.74","24.91","113.54","92.51","sedentary"
"9","Tyrannus_couchii","16.54","10.08","7.52","19.45","31.17","116.75","94.85","partial"
"10","Tyrannus_crassirostris_crassirostris","19.28","12.31","10.07","20.2","37.08","128.5","98.69","migratory"
"11","Tyrannus_crassirostris_pompalis","20.28","12.24","10.46","20.67","38.07","130.22","95.81","migratory"
"12","Tyrannus_cubensis","26.08","13.92","11.55","22.86","34.45","131.01","97.85","sedentary"
"13","Tyrannus_dominicensis_dominicensis","20.55","10.94","8.55","18.61","33.91","113.62","87.24","migratory"
"14","Tyrannus_dominicensis_vorax","22.68","12.6","9.34","19.21","31.8","115.09","89.68","sedentary"
"15","Tyrannus_forficatus","13.65","7.61","6.19","19.14","45.22","121.46","206.17","migratory"
"16","Tyrannus_melancholicus_despotes","17.66","9.69","7.54","17.83","32.37","109.84","93.58","sedentary"
"17","Tyrannus_melancholicus_melancholicus","17.52","9.71","7.44","18.09","31.34","114.11","93.28","partial"
"18","Tyrannus_melancholicus_satrapa","17.65","9.87","7.27","19.09","29.39","112.73","92.88","partial"
"19","Tyrannus_niveigularis","14.68","8.51","6.05","18.16","25.22","101.72","77.28","partial"
"20","Tyrannus_savana_circumdatus","12.31","6.35","5.23","17.61","34.72","105.26","229.75","sedentary"
"21","Tyrannus_savana_monachus_CA","11.28","6.39","5.2","17.28","34.01","104.22","270.67","sedentary"
"22","Tyrannus_savana_monachus_SA","11.75","6.34","5.35","17.43","34.27","100.79","247.54","sedentary"
"23","Tyrannus_savana_sanctaemartae","12.04","6.08","5.29","17.58","36.39","105.5","239","sedentary"
"24","Tyrannus_savana_savana","11.15","6.48","5.26","17.76","36.73","108.06","216.71","migratory"
"25","Tyrannus_tyrannus","13.8","8.12","6.38","18.75","38.27","115.78","79.22","migratory"
"26","Tyrannus_verticalis","13.38","7.68","6.45","19.43","41.34","125.98","90.04","migratory"
"27","Tyrannus_vociferans_vociferans","14.95","8.54","6.88","19.76","38.88","128.58","90.5","partial"
"28","Tyrannus_vociferans_xenopterus","14.8","8.21","6.56","19.91","39.87","130.19","91.77","sedentary"
