"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"2",2,"Tyrannus_forficatus","","migratory","taxonomy","357",NA,"MM","Louisiana State University Museum of tural Sciences","1894",4,"3","United States of America","Louisiana","Iberia Parish","Avery Island","",29.89675,-91.905,14.14,8.19,6.68,18.545,NA,NA,144.4,"Adult","Female",NA,"Tyrannus_forficatus"
"4",4,"Tyrannus_melancholicus","despotes","sedentary","taxonomy","761",NA,"MM","Louisiana State University Museum of tural Sciences","1937",2,"28","Venezuela","Aragua","","Las Dedicias","",10.27442,-67.5428,19.07,10.425,7.48,16.945,28.435,111.83,NA,"Adult","Female",25.4269873915765,"Tyrannus_melancholicus_despotes"
"10",10,"Tyrannus_verticalis","","migratory","taxonomy","1745",NA,"MM","Royal Ontario Museum","1896",5,"27","Canada","Alberta","Calgary Region","Calgary","",51.03449,-114.07,13.49,7.77,6.715,19.465,38.105,125.18,87.6,"Adult","Female",30.4401661607285,"Tyrannus_verticalis"
"15",15,"Tyrannus_vociferans","vociferans","partial","taxonomy","2583",NA,"MM","Louisiana State University Museum of tural Sciences","1939",5,"4","United States of America","Texas","Culberson County","Guadalupe Mountains, Frijole","5600 feet",31.90762,-104.801,14.545,8.25,6.415,20.14,39.71,130.85,89.78,"Adult","Female",30.3477264042797,"Tyrannus_vociferans_vociferans"
"17",17,"Tyrannus_melancholicus","satrapa","partial","taxonomy","2799",NA,"MM","Louisiana State University Museum of tural Sciences","1938",5,"2","Mexico","Veracruz","Piedras Negras","El Faro on tiol pk.","450 ft.",18.76992,-96.1728,19.605,9.965,7.845,NA,NA,NA,NA,"Adult","Female",NA,"Tyrannus_melancholicus_satrapa"
"18",18,"Tyrannus_verticalis","","migratory","taxonomy","2958",NA,"MM","Royal Ontario Museum","",NA,"","United States of America","California","Sacramento County","Folsom, Sacramento","",38.67157,-121.158,12.92,7.61,6.695,19.63,34.48,117.015,81.58,"Adult","Female",29.4663077383241,"Tyrannus_verticalis"
"22",22,"Tyrannus_forficatus","","migratory","taxonomy","4035",NA,"MM","Royal Ontario Museum","1892",4,"18","United States of America","Texas","Aransas County","Rock Port","",28.03774,-97.0666,NA,NA,NA,18.105,45.2,118.525,125.87,"Adult","Female",38.1354144695212,"Tyrannus_forficatus"
"23",23,"Tyrannus_verticalis","","migratory","taxonomy","4040",NA,"MM","Royal Ontario Museum","1896",6,"17","United States of America","California","San Berrdino County","Ontario","",34.05437,-117.651,13.105,7.765,6.745,18.6,31.47,113.36,86.16,"Adult","Female",27.7611150317572,"Tyrannus_verticalis"
"25",25,"Tyrannus_savana","savana","migratory","taxonomy","4682",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1960",8,"20","Colombia","Vaupes","","Mitu","",1.252137,-70.2338,10.6,6,5.5,NA,NA,106,178,"Adult","Female",NA,"Tyrannus_savana_savana"
"27",27,"Tyrannus_vociferans","vociferans","partial","taxonomy","5203",NA,"MM","Louisiana State University Museum of tural Sciences","1941",4,"18","Mexico","Coahuila","","Saltillo","5300 feet",25.41942,-101.001,15.435,9.26,6.78,20.31,36.005,126.14,88.62,"Adult","Female",28.5436816235928,"Tyrannus_vociferans_vociferans"
"30",30,"Tyrannus_tyrannus","","migratory","taxonomy","5821",NA,"MM","Royal Ontario Museum","",NA,"","Canada","Ontario","Toronto","Toronto","",43.73418,-79.4167,13.51,8.275,6.86,20.36,36.155,117.88,84.2,"Adult","Female",30.6710213776722,"Tyrannus_tyrannus"
