"","X","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_albogularis",1,0.092217087679285,0.0486749636292128,0.0553128641878148,0.0587583487026653,0.0426950159515542,0.0801957946462701,0.0462490488483562,0.0636243161576235,0.0649474890752126,"migratory",18.0318956761372,3.75359927102526,-110.217928606307,-86.5375552406263
"Tyrannus_caudifasciatus_bahamensis",2,NA,0.0398373333400519,0.0452471128560326,0.0455492720074372,0.0185883448110788,0.0674972405959676,0.0334097220213586,0.0337147765132643,0.0471781860858366,"sedentary",22.4394872798753,6.39299032892535,-103.993090843096,-90.4168262414892
"Tyrannus_caudifasciatus_caudifasciatus",3,NA,0.102133135327457,0.0876730950860292,0.0653786509992482,0.0312637636768017,0.0942270006601689,0.0269552933281143,0.0336608521727238,0.0763805332205897,"sedentary",21.4426534075557,6.23147735926825,-103.208756827589,-85.9953383771783
"Tyrannus_caudifasciatus_caymanensis",4,0.128473405519004,0.043220380214996,0.0266337300027328,0.0388830040832811,0.0275443647110672,0.0843123946998267,0.026871961063946,0.0429071164990306,0.0671675281268883,"sedentary",23.3796982862922,7.49001765505254,-105.645771639778,-85.246628742034
"Tyrannus_caudifasciatus_flavescens",5,NA,0.0336441874845576,0.0256301587749927,0.0335322876121646,0.0208014598083893,0.0496132363935739,0.030923805256754,0.0286794310054098,0.0375920689450957,"sedentary",21.5747494956298,6.79081543576335,-102.219059548257,-87.5701167477071
"Tyrannus_caudifasciatus_gabbii",6,NA,0.0350630362971891,0.0454168314199782,0.0530844588809882,0.0342382335655204,0.0723614696468385,0.034868550067238,0.0319854220608299,0.0706672103456772,"sedentary",20.432538581003,5.71484658623477,-98.7314841226116,-86.9517205696074
"Tyrannus_caudifasciatus_jamaicensis",7,NA,0.060630074321908,0.0330960958020132,0.0598422448672906,0.0241876224059632,0.082297403489425,0.0279094966718921,0.0392805892430505,0.0644249650697035,"sedentary",22.0396171757393,6.75790484843218,-101.257026153341,-83.6749199145098
"Tyrannus_caudifasciatus_taylori",8,0.0141674517839194,0.0417441206526339,0.0502714783399343,0.0404020937067607,0.029726483383716,0.0686387641764,0.029236847677709,0.026682180450804,0.057241512252602,"sedentary",23.069020143891,6.04930333841804,-111.742083890263,-93.9132271573768
"Tyrannus_couchii",9,0.150400644437679,0.10725736096671,0.082116843356347,0.0605073793396084,0.0389226918745953,0.0802859501272351,0.0437078883360128,0.0546463773878793,0.0574586003308722,"partial",20.6695205328176,3.51293779658018,-114.535715547568,-96.2991526704366
"Tyrannus_crassirostris_crassirostris",10,0.0312550287952761,0.0569960282098567,0.0439485271642276,0.0399602180295638,0.0338835841501832,0.0954661926839816,0.040539288270005,0.0420968381479703,0.0675223042858588,"migratory",25.3630465491546,3.37636255061407,-119.144986940856,-106.898935987254
"Tyrannus_crassirostris_pompalis",11,NA,0.0438960316930993,0.0586951672552817,0.0462610782597319,0.0369730001854521,0.0884485869143549,0.0276410906445771,0.0365792580860721,0.0706889708445205,"migratory",25.5432156636255,3.53800633303035,-118.951312109896,-108.849312122286
"Tyrannus_cubensis",12,NA,0.0277141996194372,0.0338692749670286,0.0412061009803321,0.0331032723525685,0.0760011948823452,0.0287264207400905,0.0540590254275754,0.0620340576021429,"sedentary",31.0800726668615,6.33635680263579,-119.568943941055,-109.551979206272
"Tyrannus_dominicensis_dominicensis",13,0.168761931355063,0.0694780538962709,0.0570694156570518,0.0744037471253758,0.0326943833422459,0.0768714859034229,0.0328467018460477,0.0394625649829733,0.0548165160132799,"migratory",23.9600140956261,5.36994773476114,-107.022345715707,-93.829782852402
"Tyrannus_dominicensis_vorax",14,0.0571500418137563,0.0514948588671033,0.0513526631528143,0.0622064574875168,0.0363980340296636,0.0754500403708597,0.0328654413534071,0.04039363388917,0.0547226999501158,"sedentary",26.8464231560565,5.97552588327747,-109.983605319371,-95.6306131912447
"Tyrannus_forficatus",15,0.129343604910664,0.0456032925676856,0.047362889699079,0.0520454075432597,0.0393176633737247,0.139377719114297,0.0530356769563047,0.26320893667608,0.0925191861342086,"migratory",16.2909872701073,3.03878469683258,-201.367261905649,-84.2511322809961
"Tyrannus_melancholicus_despotes",16,NA,0.0522374898865405,0.0579664752291076,0.0746307840221881,0.0552009664885842,0.0929057073237367,0.0839224274301529,0.0505409039008942,0.141940022045555,"sedentary",20.7481052085668,4.3402871933281,-111.176257212031,-91.54847551478
"Tyrannus_melancholicus_melancholicus",17,0.130506020965813,0.0761835806455562,0.0555463221967787,0.0811304452771633,0.0426669037647228,0.0881915020790578,0.0355842853685212,0.0523936260586757,0.0745085958800609,"partial",20.6866102227226,4.32235369108262,-112.231103451589,-93.2902019893692
"Tyrannus_melancholicus_satrapa",18,0.124419320390995,0.0630750568297938,0.0584068690467816,0.0574330927229723,0.0468158846937195,0.0814290750423268,0.0393679368195701,0.0521763761279159,0.05651247364656,"partial",20.8901142696296,4.4649967939092,-110.305806545783,-92.1786548787833
"Tyrannus_niveigularis",19,0.0880918342465606,0.0369638403066521,0.0583222863461503,0.0548130721393874,0.0434155399037433,0.0813621722660877,0.0352508156052664,0.0306801462512539,0.0547327141335094,"partial",17.6413139708552,3.55095623516507,-95.2633834292809,-85.3710494886983
"Tyrannus_savana_circumdatus",20,NA,0.0501957850775636,0.0500061983552604,0.0498387661236075,0.0225110112858558,0.101390960437347,0.0398014998210993,0.120839349332728,0.0665462502411303,"sedentary",14.1806798725305,3.19552506260488,-238.151714619722,-64.8342637595676
"Tyrannus_savana_monachus_CA",21,0.0934054739610219,0.0430132548600383,0.0509131144747899,0.0622786164442563,0.0397411128158842,0.0883077995878234,0.0487016870992126,0.241010273204108,0.0516431675492029,"sedentary",13.6276240107482,2.47494575605736,-247.441576395928,-60.4230972337115
"Tyrannus_savana_monachus_SA",22,0.0607373849753352,0.0613573326722833,0.0670937502664329,0.0593769091685104,0.0374391704850096,0.0860065041987542,0.125520534047212,0.247279756972112,0.155252935717243,"sedentary",13.8493477489878,2.69888624491209,-245.14117323782,-60.7069579065588
"Tyrannus_savana_sanctaemartae",23,NA,0.0307482089770782,0.0391856165048669,0.0448083812432816,0.0323903208050076,0.096657845822695,0.0557230939085122,0.20377190471502,0.0557554552112604,"sedentary",13.9831993584449,3.08409621336108,-268.3123605765,-59.8246930827056
"Tyrannus_savana_savana",24,0.145280780020736,0.059674051030896,0.0769391046045726,0.0799865811882595,0.0571347706823162,0.107803424297736,0.109274462331244,0.241933377425876,0.0621036141050937,"migratory",13.5917778727831,2.32136337380152,-218.06954132228,-69.5964483694233
"Tyrannus_tyrannus",25,0.181115789630711,0.0756165550630127,0.10120208412321,0.0906665982431619,0.0425502272790979,0.0798694515628342,0.0431572723262566,0.0517405473686214,0.0513968160207053,"migratory",16.6063482747196,2.86969166984438,-100.66891099172,-97.1078993463252
