"","X","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_albogularis",1,0.0486749636292128,0.0553128641878148,0.0587583487026653,0.0426950159515542,0.0801957946462701,0.0462490488483562,0.0636243161576235,"migratory",-18.0295630461194,3.76491661004959,-110.268885705368,-87.5966906584263
"Tyrannus_caudifasciatus_bahamensis",2,0.0398373333400519,0.0452471128560326,0.0455492720074372,0.0185883448110788,0.0674972405959676,0.0334097220213586,0.0337147765132643,"sedentary",-22.4355683671335,6.40622628000735,-104.048922044149,-91.3703666027569
"Tyrannus_caudifasciatus_caudifasciatus",3,0.102133135327457,0.0876730950860292,0.0653786509992482,0.0312637636768017,0.0942270006601689,0.0269552933281143,0.0336608521727238,"sedentary",-21.4388486365939,6.24401417042959,-103.262872341184,-86.8396072063768
"Tyrannus_caudifasciatus_caymanensis",4,0.043220380214996,0.0266337300027328,0.0388830040832811,0.0275443647110672,0.0843123946998267,0.026871961063946,0.0429071164990306,"sedentary",-23.3750636594209,7.50375335017376,-105.701159644655,-85.9742309598312
"Tyrannus_caudifasciatus_flavescens",5,0.0336441874845576,0.0256301587749927,0.0335322876121646,0.0208014598083893,0.0496132363935739,0.030923805256754,0.0286794310054098,"sedentary",-21.5706236150898,6.80313752115993,-102.274200630289,-88.4288553840885
"Tyrannus_caudifasciatus_gabbii",6,0.0350630362971891,0.0454168314199782,0.0530844588809882,0.0342382335655204,0.0723614696468385,0.034868550067238,0.0319854220608299,"sedentary",-20.4289817301967,5.72724494862752,-98.7866394202615,-87.7822943883482
"Tyrannus_caudifasciatus_jamaicensis",7,0.060630074321908,0.0330960958020132,0.0598422448672906,0.0241876224059632,0.082297403489425,0.0279094966718921,0.0392805892430505,"sedentary",-22.0354313210665,6.77098203407583,-101.309755097579,-84.4929769822409
"Tyrannus_caudifasciatus_taylori",8,0.0417441206526339,0.0502714783399343,0.0404020937067607,0.029726483383716,0.0686387641764,0.029236847677709,0.026682180450804,"sedentary",-23.0653061833362,6.06310901995147,-111.801962923481,-94.7819699583593
"Tyrannus_couchii",9,0.10725736096671,0.082116843356347,0.0605073793396084,0.0389226918745953,0.0802859501272351,0.0437078883360128,0.0546463773878793,"partial",-20.6673436021928,3.52606885449999,-114.591952125319,-97.5057442556642
"Tyrannus_crassirostris_crassirostris",10,0.0569960282098567,0.0439485271642276,0.0399602180295638,0.0338835841501832,0.0954661926839816,0.040539288270005,0.0420968381479703,"migratory",-25.361107938651,3.3918707413506,-119.204231638087,-108.433193415398
"Tyrannus_crassirostris_pompalis",11,0.0438960316930993,0.0586951672552817,0.0462610782597319,0.0369730001854521,0.0884485869143549,0.0276410906445771,0.0365792580860721,"migratory",-25.5412223816793,3.55334318632315,-119.01145960437,-110.423235139215
"Tyrannus_cubensis",12,0.0277141996194372,0.0338692749670286,0.0412061009803321,0.0331032723525685,0.0760011948823452,0.0287264207400905,0.0540590254275754,"sedentary",-31.0762739725048,6.35497431777635,-119.632635982678,-110.941747578927
"Tyrannus_dominicensis_dominicensis",13,0.0694780538962709,0.0570694156570518,0.0744037471253758,0.0326943833422459,0.0768714859034229,0.0328467018460477,0.0394625649829733,"migratory",-23.9567224294832,5.38454914976442,-107.074434488294,-95.1771525007833
"Tyrannus_dominicensis_vorax",14,0.0514948588671033,0.0513526631528143,0.0622064574875168,0.0363980340296636,0.0754500403708597,0.0328654413534071,0.04039363388917,"sedentary",-26.8426890908334,5.99225274204467,-110.038452209554,-96.8937582573694
"Tyrannus_forficatus",15,0.0456032925676856,0.047362889699079,0.0520454075432597,0.0393176633737247,0.139377719114297,0.0530356769563047,0.26320893667608,"migratory",-16.2891899941434,3.04864519945496,-201.413493397723,-85.4153862538119
"Tyrannus_melancholicus_despotes",16,0.0522374898865405,0.0579664752291076,0.0746307840221881,0.0552009664885842,0.0929057073237367,0.0839224274301529,0.0505409039008942,"sedentary",-20.7454381240333,4.35310354763969,-111.228026979231,-92.8009601603148
"Tyrannus_melancholicus_melancholicus",17,0.0761835806455562,0.0555463221967787,0.0811304452771633,0.0426669037647228,0.0881915020790578,0.0355842853685212,0.0523936260586757,"partial",-20.6839607318432,4.33509911179939,-112.285598667089,-94.4591387635906
"Tyrannus_melancholicus_satrapa",18,0.0630750568297938,0.0584068690467816,0.0574330927229723,0.0468158846937195,0.0814290750423268,0.0393679368195701,0.0521763761279159,"partial",-20.8873267834625,4.4781035013047,-110.360800031888,-93.264382961164
"Tyrannus_niveigularis",19,0.0369638403066521,0.0583222863461503,0.0548130721393874,0.0434155399037433,0.0813621722660877,0.0352508156052664,0.0306801462512539,"partial",-17.639076259833,3.5622355591557,-95.3150312207732,-86.3430474643531
"Tyrannus_savana_circumdatus",20,0.0501957850775636,0.0500061983552604,0.0498387661236075,0.0225110112858558,0.101390960437347,0.0398014998210993,0.120839349332728,"sedentary",-14.1787701970769,3.20399896659593,-238.194798057633,-65.2163741180769
"Tyrannus_savana_monachus_CA",21,0.0430132548600383,0.0509131144747899,0.0622786164442563,0.0397411128158842,0.0883077995878234,0.0487016870992126,0.241010273204108,"sedentary",-13.6261641174831,2.4832441860019,-247.483784386936,-60.6366124306417
"Tyrannus_savana_monachus_SA",22,0.0613573326722833,0.0670937502664329,0.0593769091685104,0.0374391704850096,0.0860065041987542,0.125520534047212,0.247279756972112,"sedentary",-13.8477740461974,2.70713316732132,-245.183303704027,-60.9409326025738
"Tyrannus_savana_sanctaemartae",23,0.0307482089770782,0.0391856165048669,0.0448083812432816,0.0323903208050076,0.096657845822695,0.0557230939085122,0.20377190471502,"sedentary",-13.9814009206794,3.0922434508184,-268.353472778466,-60.0594757631711
"Tyrannus_savana_savana",24,0.059674051030896,0.0769391046045726,0.0799865811882595,0.0571347706823162,0.107803424297736,0.109274462331244,0.241933377425876,"migratory",-13.5904209743014,2.32964135170287,-218.112967953932,-70.2057295163645
"Tyrannus_tyrannus",25,0.0756165550630127,0.10120208412321,0.0906665982431619,0.0425502272790979,0.0798694515628342,0.0431572723262566,0.0517405473686214,"migratory",-16.6046302682458,2.87995221275175,-100.719012757801,-98.7422422887352
"Tyrannus_verticalis",26,0.0720193997823033,0.0589728825673972,0.0692729923149687,0.0392518344817811,0.104844507916603,0.0469038899109436,0.0506721789982267,"migratory",-16.2797748795799,2.65100036449261,-110.65552604068,-104.827194754146
"Tyrannus_vociferans_vociferans",27,0.0695245807975854,0.0590099957168523,0.0713818385011332,0.0367047801469652,0.0896521015461452,0.0829244143239698,0.0381165964357074,"partial",-18.2245790196907,3.34554790742554,-113.188905475764,-109.792595698953
"Tyrannus_vociferans_xenopterus",28,0.0497565457484744,0.0497949568105968,0.0537638343653831,0.030615518562754,0.150197154571834,0.057608963095922,0.0360872522747281,"sedentary",-17.7298868202119,3.4429364958601,-114.320264467583,-107.586067550677
