"","X","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_albogularis",1,0.0521770319272821,0.0620657905309286,0.0539176182871095,0.0347847499138717,0.0733531743610333,0.0418096526053624,0.041951476206318,"migratory",-17.582127110225,4.98087969666746,118.56492772623,61.796472321459
"Tyrannus_caudifasciatus_bahamensis",2,0.0228401202640942,0.0443495188446399,0.0631349115071852,0.0227102487530575,0.0907513734077715,0.0411597243445697,0.0383890005140603,"sedentary",-21.9051376935891,5.41323168979321,115.274122372735,65.7265975779496
"Tyrannus_caudifasciatus_caudifasciatus",3,0.13120285587416,0.103050867905399,0.0461692321356252,0.0355546454132085,0.0779902579393592,0.0233540269665554,0.0354908413078603,"sedentary",-21.2401865552167,5.20084935276182,114.091427852038,62.8026860383746
"Tyrannus_caudifasciatus_caymanensis",4,0.0247752822868365,0.0379731875983011,0.0937705880328574,0.0289217451805844,0.0702674196579423,0.00829657887939453,0.0495066956095725,"sedentary",-22.7227005734718,5.09916625445266,115.232485546424,61.7948503226005
"Tyrannus_caudifasciatus_flavescens",5,0.025954429687059,0.0250312215844463,0.0194270903993981,0.0163815995660403,0.0633782384147528,0.0318185138438085,0.0355054370864804,"sedentary",-21.327660216877,4.9855265840638,114.368315171693,63.9521960093009
"Tyrannus_caudifasciatus_gabbii",6,0.034581558208834,0.0426889010068698,0.0617615188076623,0.0298774833759633,0.0771700150451983,0.0354172135082353,0.0201131205460826,"sedentary",-20.3236355667201,4.79526454513413,110.143111229554,66.1586249662537
"Tyrannus_caudifasciatus_jamaicensis",7,0.0442157632404936,0.00857653879826675,0.0650819732445671,0.0165301906893559,0.119321135340141,0.032027745911611,0.0395887849318818,"sedentary",-22.1299914472106,5.00989721939064,113.280870253201,62.7608454774478
"Tyrannus_caudifasciatus_taylori",8,0.0421614519982883,0.0462841490645476,0.0352325177061825,0.0284434948827122,0.0757302569156345,0.029394157167744,0.0213634405025073,"sedentary",-22.6133081285264,5.94356372267172,125.663671719556,69.1548736589962
"Tyrannus_couchii",9,0.136590002679567,0.101119159609218,0.0599380436441936,0.0473038755069422,0.066378006202233,0.0364952247859618,0.0531397003372194,"partial",-20.1594558671948,6.11802446096145,127.848215259037,70.8733515798096
"Tyrannus_crassirostris_crassirostris",10,0.0551380143217694,0.0414529774805567,0.0247282269060997,0.029659190746289,0.0975680230657184,0.0398779350427365,0.035068378611935,"migratory",-24.3933509403972,8.47348292423263,133.59402132837,78.2061794782134
