"","X","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_albogularis",1,0.0949506172027204,0.0521770319272821,0.0620657905309286,0.0539176182871095,0.0347847499138717,0.0733531743610333,0.0418096526053624,0.041951476206318,0.0762867359239787,"migratory",-16.1561194186858,1.13383777353073,-114.568590679501,32.1624596137398
"Tyrannus_caudifasciatus_bahamensis",2,NA,0.0228401202640942,0.0443495188446399,0.0631349115071852,0.0227102487530575,0.0907513734077715,0.0411597243445697,0.0383890005140603,0.0492365432975413,"sedentary",-19.3453777557084,0.384974027437755,-116.139172387581,28.7969777025809
"Tyrannus_caudifasciatus_caudifasciatus",3,NA,0.0554208836996019,0.0594350616114789,0.0481137586280781,0.0324478761341621,0.0749099029435492,0.0239129835139136,0.0373995613096491,0.0635347547767492,"sedentary",-18.6910091699374,0.324306432315239,-112.509567790994,26.8482270079171
"Tyrannus_caudifasciatus_caymanensis",4,0.148574965696784,0.0247752822868365,0.0379731875983011,0.0937705880328574,0.0289217451805844,0.0702674196579423,0.00829657887939453,0.0495066956095725,0.0704111351631171,"sedentary",-19.8547991456748,-0.156717324312408,-111.582099649513,26.3857300951398
"Tyrannus_caudifasciatus_flavescens",5,NA,0.025954429687059,0.0250312215844463,0.0194270903993981,0.0163815995660403,0.0633782384147528,0.0318185138438085,0.0355054370864804,0.0513648407789519,"sedentary",-18.5588823684878,0.00671465236885865,-113.758449514324,27.7492376143864
"Tyrannus_caudifasciatus_gabbii",6,NA,0.0356910657243993,0.0444331588604723,0.0617615188076623,0.027817185921547,0.0817775757606039,0.0258021630106103,0.0201131205460826,0.0952496044557337,"sedentary",-18.1343587227334,0.218924698315466,-113.605794579595,25.4126987580178
"Tyrannus_caudifasciatus_jamaicensis",7,NA,0.0359505912018506,0.0104914901445367,0.0440202432652806,0.0185401636536538,0.00545686743224582,0.0262672248742253,NA,0.020811848993522,"sedentary",-19.5918364793387,-0.504012354432916,-115.481193364592,29.0610426215047
"Tyrannus_caudifasciatus_taylori",8,NA,0.0404914284552694,0.0385054772672091,0.0363805896622835,0.0303006925936053,0.0763453615278681,0.026839543438589,0.0217517469339728,0.0632387325552548,"sedentary",-20.3310295811697,0.847718258602153,-124.098022355044,29.3733930786744
"Tyrannus_couchii",9,0.155970660888634,0.0555713119890299,0.0483620540874935,0.0538416865604059,0.0439303295644475,0.065094665959675,0.0373441003953404,0.0524832351466249,0.0541181528689691,"partial",-18.8366015489738,1.78095097369365,-128.447635580879,36.580764499334
"Tyrannus_crassirostris_crassirostris",10,0.0317768972733825,0.0551380143217694,0.0414529774805567,0.0247282269060997,0.0309419996018583,0.101400038715469,0.039812130554506,0.0369329507989208,0.0722126579900099,"migratory",-22.7960270962332,3.158582115269,-139.197139414056,40.1052858405997
