"","Mass","BL.Average","BW.Average","BD.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index"
"Tyrannus_albogularis","38.29 ± 3.53
(17)","15.14 ± 0.74
(36)","8.61 ± 0.48
(35)","6.37 ± 0.37
(33)","17.58 ± 0.75
(36)","105.09 ± 4.86
(26)","91.02 ± 5.79
(26)","16.81 ± 0.97
(26)"
"Tyrannus_caudifasciatus_bahamensis","NaN ± NA
(0)","20.19 ± 0.8
(13)","9.45 ± 0.43
(14)","7.52 ± 0.34
(14)","22.3 ± 0.41
(14)","107.99 ± 3.61
(12)","84.94 ± 2.86
(12)","20.71 ± 0.74
(12)"
"Tyrannus_caudifasciatus_caudifasciatus","NaN ± NA
(0)","19.23 ± 1.96
(77)","8.82 ± 0.77
(76)","7.21 ± 0.47
(62)","22.46 ± 0.7
(78)","103.44 ± 2.79
(62)","85.16 ± 2.87
(53)","21.76 ± 0.75
(62)"
"Tyrannus_caudifasciatus_caymanensis","43.32 ± 5.57
(6)","21.63 ± 0.93
(12)","9.42 ± 0.25
(11)","7.41 ± 0.29
(11)","22.6 ± 0.62
(15)","103.13 ± 2.77
(11)","87.96 ± 3.77
(10)","21.91 ± 0.72
(11)"
"Tyrannus_caudifasciatus_flavescens","NaN ± NA
(0)","19.95 ± 0.67
(21)","8.47 ± 0.22
(21)","7.18 ± 0.24
(21)","22.61 ± 0.47
(21)","104.74 ± 3.24
(21)","83.9 ± 2.41
(21)","21.6 ± 0.59
(21)"
"Tyrannus_caudifasciatus_gabbii","NaN ± NA
(0)","18.28 ± 0.64
(31)","8.89 ± 0.4
(32)","6.7 ± 0.36
(29)","20.97 ± 0.72
(32)","103.07 ± 3.59
(24)","80.71 ± 2.58
(22)","20.34 ± 0.9
(24)"
"Tyrannus_caudifasciatus_jamaicensis","38.5 ± NA
(1)","20.22 ± 1.23
(16)","9.11 ± 0.3
(15)","7.07 ± 0.42
(14)","21.79 ± 0.53
(16)","100.65 ± 2.81
(12)","83.59 ± 3.28
(12)","21.55 ± 0.79
(12)"
"Tyrannus_caudifasciatus_taylori","52.96 ± 0.75
(3)","20.38 ± 0.85
(75)","10.02 ± 0.5
(76)","7.91 ± 0.32
(60)","23.65 ± 0.7
(76)","112.59 ± 3.29
(67)","92.19 ± 2.46
(63)","21.1 ± 0.74
(67)"
"Tyrannus_couchii","46.43 ± 6.98
(27)","16.47 ± 1.77
(91)","10.17 ± 0.84
(89)","7.63 ± 0.46
(84)","19.46 ± 0.76
(93)","116.08 ± 5.07
(64)","93.86 ± 5.13
(52)","16.82 ± 1.01
(64)"
"Tyrannus_crassirostris_crassirostris","56.36 ± 1.76
(5)","19.93 ± 1.14
(22)","12.5 ± 0.55
(22)","10.36 ± 0.41
(21)","20.36 ± 0.69
(24)","127.05 ± 5.15
(20)","95.37 ± 4.01
(15)","16.11 ± 0.61
(20)"
