"","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail"
"Tyrannus_albogularis","15.03 ± 0.78
(17)","8.74 ± 0.54
(16)","6.5 ± 0.35
(16)","17.68 ± 0.62
(17)","26.96 ± 1.98
(13)","102.46 ± 4.28
(13)","87.06 ± 3.65
(13)"
"Tyrannus_caudifasciatus_bahamensis","19.93 ± 0.46
(4)","9.24 ± 0.41
(4)","7.57 ± 0.48
(4)","22.07 ± 0.5
(4)","24.21 ± 2.2
(4)","105.1 ± 4.33
(4)","83.45 ± 3.2
(4)"
"Tyrannus_caudifasciatus_caudifasciatus","18.88 ± 2.48
(22)","8.78 ± 0.9
(22)","7.3 ± 0.34
(17)","22.32 ± 0.79
(22)","21.82 ± 1.7
(19)","101.31 ± 2.37
(19)","83.78 ± 2.97
(16)"
"Tyrannus_caudifasciatus_caymanensis","20.98 ± 0.52
(2)","9.22 ± 0.35
(2)","7.39 ± 0.69
(2)","22.67 ± 0.66
(3)","21 ± 1.48
(3)","100.46 ± 0.83
(3)","85.4 ± 4.23
(3)"
"Tyrannus_caudifasciatus_flavescens","19.84 ± 0.52
(9)","8.42 ± 0.21
(9)","7.18 ± 0.14
(9)","22.26 ± 0.36
(9)","22.94 ± 1.45
(9)","102.78 ± 3.27
(9)","83.44 ± 2.96
(9)"
"Tyrannus_caudifasciatus_gabbii","18.16 ± 0.63
(13)","9.02 ± 0.39
(14)","6.77 ± 0.42
(12)","21.09 ± 0.63
(14)","21.33 ± 1.65
(9)","102.43 ± 3.63
(9)","78.94 ± 1.59
(8)"
"Tyrannus_caudifasciatus_jamaicensis","20.35 ± 0.9
(4)","9.1 ± 0.08
(4)","7.23 ± 0.47
(3)","21.71 ± 0.36
(4)","22.43 ± 2.68
(3)","100.79 ± 3.23
(3)","83.06 ± 3.29
(2)"
"Tyrannus_caudifasciatus_taylori","20.15 ± 0.85
(26)","10.07 ± 0.47
(27)","8.07 ± 0.28
(21)","23.55 ± 0.67
(27)","23.47 ± 1.78
(23)","111.28 ± 3.27
(23)","92.4 ± 1.97
(21)"
"Tyrannus_couchii","16.36 ± 2.24
(37)","10.32 ± 1.04
(36)","7.78 ± 0.47
(35)","19.5 ± 0.92
(37)","31.17 ± 2.07
(25)","115.53 ± 4.22
(25)","92.75 ± 4.93
(19)"
"Tyrannus_crassirostris_crassirostris","20.3 ± 1.12
(11)","12.56 ± 0.52
(12)","10.48 ± 0.26
(11)","20.47 ± 0.61
(13)","35.51 ± 3.46
(11)","125.86 ± 5.02
(11)","94.19 ± 3.3
(9)"
"Tyrannus_crassirostris_pompalis","20.27 ± 0.99
(22)","12.42 ± 0.87
(23)","10.68 ± 0.46
(22)","20.93 ± 0.7
(23)","37.12 ± 2.81
(18)","128.42 ± 3.19
(18)","94.22 ± 3.18
(19)"
"Tyrannus_cubensis","26.14 ± 0.69
(17)","14.33 ± 0.49
(18)","11.83 ± 0.47
(18)","23.18 ± 0.88
(18)","32.88 ± 2.89
(12)","127.18 ± 2.88
(12)","93.43 ± 4.67
(6)"
"Tyrannus_dominicensis_dominicensis","20.58 ± 1
(37)","11.12 ± 0.5
(37)","8.73 ± 0.52
(36)","18.99 ± 0.54
(41)","32.02 ± 2.5
(31)","111.49 ± 3.82
(31)","84.79 ± 3.14
(24)"
"Tyrannus_dominicensis_vorax","22.98 ± 1.01
(28)","12.67 ± 0.62
(27)","9.31 ± 0.53
(25)","19.53 ± 0.78
(32)","30.73 ± 1.84
(25)","113.46 ± 3.25
(25)","89.35 ± 2.61
(16)"
"Tyrannus_forficatus","13.28 ± 0.65
(37)","7.68 ± 0.39
(37)","6.28 ± 0.3
(37)","18.97 ± 0.81
(40)","38.16 ± 4.15
(30)","113.33 ± 4.69
(30)","143.74 ± 23.38
(33)"
"Tyrannus_melancholicus_despotes","17.26 ± 1.12
(14)","9.7 ± 0.64
(15)","7.27 ± 0.58
(11)","17.61 ± 1.08
(15)","27.98 ± 0.58
(10)","104.3 ± 3.2
(10)","87.14 ± 2.23
(5)"
"Tyrannus_melancholicus_melancholicus","17.21 ± 1.32
(114)","9.67 ± 0.6
(114)","7.49 ± 0.61
(111)","18.29 ± 0.84
(116)","29.37 ± 2.31
(88)","110.41 ± 2.99
(88)","89.9 ± 3.44
(49)"
"Tyrannus_melancholicus_satrapa","17.58 ± 1.04
(81)","10.04 ± 0.46
(84)","7.41 ± 0.38
(83)","19.32 ± 0.92
(86)","27.58 ± 1.98
(66)","109.33 ± 4.12
(66)","88.45 ± 3.85
(53)"
"Tyrannus_niveigularis","14.63 ± 0.39
(7)","8.79 ± 0.36
(7)","6.33 ± 0.35
(7)","18.35 ± 0.88
(7)","24.2 ± 1.8
(6)","101.26 ± 3.44
(6)","76.71 ± 2.01
(6)"
"Tyrannus_savana_circumdatus","11.48 ± 0.75
(5)","6.29 ± 0.37
(5)","5.01 ± 0.21
(5)","17.49 ± 0.44
(5)","30.74 ± 2.08
(5)","100.03 ± 1.91
(5)","182 ± 15.62
(3)"
"Tyrannus_savana_monachus_CA","11.12 ± 0.46
(19)","6.66 ± 0.31
(20)","5.25 ± 0.27
(20)","17.69 ± 0.65
(20)","30.13 ± 2.33
(14)","97.21 ± 3.64
(14)","175.4 ± 33.64
(8)"
"Tyrannus_savana_monachus_SA","11.35 ± 0.77
(43)","6.35 ± 0.45
(43)","5.32 ± 0.33
(40)","17.24 ± 0.57
(18)","31.68 ± 2.42
(14)","100.3 ± 3.74
(33)","181.42 ± 36.39
(24)"
"Tyrannus_savana_sanctaemartae","12.03 ± 0.43
(4)","6.38 ± 0.24
(4)","5.45 ± 0.29
(4)","17.69 ± 0.85
(4)","31.95 ± 0.78
(3)","99.5 ± 1.5
(3)","198 ± NA
(1)"
"Tyrannus_savana_savana","11.03 ± 0.64
(51)","6.52 ± 0.53
(50)","5.33 ± 0.39
(46)","17.71 ± 1.16
(44)","33.47 ± 2.01
(26)","100.15 ± 16.51
(33)","183.51 ± 31.84
(28)"
"Tyrannus_tyrannus","13.3 ± 0.81
(36)","8.09 ± 0.49
(35)","6.41 ± 0.37
(34)","18.84 ± 0.8
(36)","35.5 ± 2.74
(20)","111.93 ± 4.28
(20)","78.12 ± 4.67
(17)"
"Tyrannus_verticalis","13.14 ± 0.92
(47)","7.78 ± 0.46
(47)","6.6 ± 0.43
(45)","19.53 ± 0.74
(51)","36 ± 2.65
(42)","118.56 ± 4.32
(43)","84.73 ± 3.06
(43)"
"Tyrannus_vociferans_vociferans","15.18 ± 0.82
(74)","8.76 ± 0.43
(75)","7.08 ± 0.38
(73)","19.83 ± 0.75
(79)","35.51 ± 2.75
(50)","124.63 ± 4.29
(50)","88.22 ± 2.85
(42)"
"Tyrannus_vociferans_xenopterus","14.64 ± 0.54
(5)","8.57 ± 0.2
(5)","6.72 ± 0.4
(5)","19.65 ± 0.54
(5)","32.11 ± 2.71
(3)","120 ± 1.84
(3)","89.12 ± 2.22
(3)"
