"","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail"
"Tyrannus_albogularis","15.24 ± 0.7
(19)","8.51 ± 0.4
(19)","6.24 ± 0.36
(17)","17.48 ± 0.86
(19)","30.08 ± 1.32
(13)","107.72 ± 3.99
(13)","94.98 ± 4.75
(13)"
"Tyrannus_caudifasciatus_bahamensis","20.24 ± 1.04
(7)","9.47 ± 0.44
(7)","7.59 ± 0.33
(7)","22.45 ± 0.3
(7)","25.98 ± 1.25
(6)","109.28 ± 2.48
(6)","85.69 ± 2.59
(6)"
"Tyrannus_caudifasciatus_caudifasciatus","19.41 ± 1.84
(47)","8.87 ± 0.75
(47)","7.21 ± 0.53
(39)","22.58 ± 0.67
(48)","24.21 ± 2.06
(35)","104.94 ± 2.1
(36)","86.19 ± 2.43
(31)"
"Tyrannus_caudifasciatus_caymanensis","21.76 ± 0.96
(10)","9.46 ± 0.23
(9)","7.42 ± 0.21
(9)","22.58 ± 0.64
(12)","22.11 ± 1.96
(8)","104.14 ± 2.56
(8)","89.05 ± 3.28
(7)"
"Tyrannus_caudifasciatus_flavescens","20.03 ± 0.78
(12)","8.51 ± 0.22
(12)","7.18 ± 0.3
(12)","22.88 ± 0.36
(12)","23.94 ± 0.68
(12)","106.21 ± 2.41
(12)","84.25 ± 1.96
(12)"
"Tyrannus_caudifasciatus_gabbii","18.39 ± 0.67
(17)","8.79 ± 0.41
(17)","6.66 ± 0.31
(16)","20.79 ± 0.74
(17)","23.22 ± 1.14
(14)","103.46 ± 3.64
(15)","81.72 ± 2.53
(14)"
"Tyrannus_caudifasciatus_jamaicensis","19.89 ± 1.58
(7)","9.11 ± 0.42
(7)","7.03 ± 0.54
(7)","21.7 ± 0.53
(7)","22.46 ± 1.68
(6)","99.82 ± 3.3
(6)","84.42 ± 4.23
(6)"
"Tyrannus_caudifasciatus_taylori","20.49 ± 0.86
(40)","9.96 ± 0.57
(40)","7.83 ± 0.34
(30)","23.74 ± 0.74
(40)","24.91 ± 1.46
(36)","113.54 ± 3.24
(36)","92.51 ± 2.46
(35)"
"Tyrannus_couchii","16.54 ± 1.42
(49)","10.08 ± 0.66
(48)","7.52 ± 0.42
(44)","19.45 ± 0.62
(51)","31.17 ± 2.89
(34)","116.75 ± 5.86
(34)","94.85 ± 5.24
(30)"
"Tyrannus_crassirostris_crassirostris","19.28 ± 0.98
(9)","12.31 ± 0.6
(8)","10.07 ± 0.45
(8)","20.2 ± 0.87
(9)","37.08 ± 3.5
(7)","128.5 ± 5.76
(7)","98.69 ± 3.75
(4)"
"Tyrannus_crassirostris_pompalis","20.28 ± 0.82
(27)","12.24 ± 0.58
(27)","10.46 ± 0.49
(26)","20.67 ± 0.81
(27)","38.07 ± 3.71
(22)","130.22 ± 3.74
(22)","95.81 ± 3.61
(24)"
"Tyrannus_cubensis","26.08 ± 0.82
(14)","13.92 ± 0.38
(13)","11.55 ± 0.47
(14)","22.86 ± 0.6
(14)","34.45 ± 1.85
(11)","131.01 ± 3.45
(11)","97.85 ± 5.23
(10)"
"Tyrannus_dominicensis_dominicensis","20.55 ± 1.13
(57)","10.94 ± 0.54
(53)","8.55 ± 0.53
(49)","18.61 ± 0.62
(59)","33.91 ± 2.48
(39)","113.62 ± 3.62
(38)","87.24 ± 3.45
(31)"
"Tyrannus_dominicensis_vorax","22.68 ± 1.33
(33)","12.6 ± 0.7
(32)","9.34 ± 0.64
(29)","19.21 ± 0.6
(35)","31.8 ± 2.77
(23)","115.09 ± 4.26
(23)","89.68 ± 4.55
(16)"
"Tyrannus_forficatus","13.65 ± 0.54
(49)","7.61 ± 0.34
(51)","6.19 ± 0.34
(48)","19.14 ± 0.7
(55)","45.22 ± 5.22
(47)","121.46 ± 4.99
(47)","206.17 ± 43.48
(52)"
"Tyrannus_melancholicus_despotes","17.66 ± 0.71
(35)","9.69 ± 0.49
(35)","7.54 ± 0.5
(30)","17.83 ± 0.93
(36)","32.37 ± 2.51
(22)","109.84 ± 11.26
(22)","93.58 ± 2.95
(11)"
