"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"1",1,"Tyrannus_forficatus","","migratory","taxonomy","356",NA,"MM","Louisiana State University Museum of tural Sciences","1894",3,"16","United States of America","Louisiana","Iberia Parish","Avery Island","",29.89675,-91.905,14.09,NA,NA,20.2,50.23,126.84,233,"Adult","Male",39.6010722169663,"Tyrannus_forficatus"
"5",5,"Tyrannus_melancholicus","despotes","sedentary","taxonomy","762",NA,"MM","Louisiana State University Museum of tural Sciences","1937",8,"29","Venezuela","Aragua","","Las Dedicias, Maracay","",10.25,-67.6,17.565,9.505,7.295,18.565,34.985,115.65,99.25,"Adult","Male",30.250756593169,"Tyrannus_melancholicus_despotes"
"6",6,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","1159",NA,"MM","The Field Museum","1895",4,"2","Dominican Republican","Santo Domingo","","Honduras","",17.25,-88.75,18.025,9.015,6.71,21.71,23.53,101.5,81.9,"Adult","Male",23.1822660098522,"Tyrannus_caudifasciatus_gabbii"
"7",7,"Tyrannus_tyrannus","","migratory","taxonomy","1208",NA,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","East Baton Rouge","Baton Rouge","",30.45147,-91.1871,14.025,7.475,5.98,17.425,38.75,117.845,81.49,"Adult","Male",32.8821757393186,"Tyrannus_tyrannus"
"8",8,"Tyrannus_tyrannus","","migratory","taxonomy","1417",NA,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","Jefferson Parish","Grand Isle","",29.24078,-89.98813,14.46,8.375,6,18.11,NA,NA,NA,"Adult","Male",NA,"Tyrannus_tyrannus"
"9",9,"Tyrannus_forficatus","","migratory","taxonomy","1743",NA,"MM","Louisiana State University Museum of tural Sciences","1937",5,"16","United States of America","Texas","","Deport","",33.52622,-95.3158,13.985,7.32,6.245,16.885,NA,NA,224,"Adult","Male",NA,"Tyrannus_forficatus"
"11",11,"Tyrannus_verticalis","","migratory","taxonomy","1746",NA,"MM","Royal Ontario Museum","1896",5,"27","Canada","Alberta","Calgary Region","Calgary","",51.03449,-114.07,14.085,8.21,6.865,20.425,41.985,128.065,93.28,"Adult","Male",32.7841330574318,"Tyrannus_verticalis"
"13",13,"Tyrannus_tyrannus","","migratory","taxonomy","2033",NA,"MM","Royal Ontario Museum","",NA,"","Canada","Ontario","Toronto","Toronto","",43.73418,-79.4167,13.36,7.715,7.105,19.3,39.69,115.855,NA,"Adult","Male",34.2583401665875,"Tyrannus_tyrannus"
"14",14,"Tyrannus_vociferans","vociferans","partial","taxonomy","2095",NA,"MM","Louisiana State University Museum of tural Sciences","1938",5,"16","United States of America","Texas","Culberson County","Van Horne, 35 miles East","",31.05162,-104.141,15.63,8.46,6.73,18.7,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"16",16,"Tyrannus_vociferans","vociferans","partial","taxonomy","2693",NA,"MM","Louisiana State University Museum of tural Sciences","1938",6,"12","United States of America","Texas","Culberson County","Guadalupe Mountains, Frijole, Pine Springs Canyon","5300 feet",29.24767,-103.299,14.255,9.15,7.355,21.095,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"19",19,"Tyrannus_tyrannus","","migratory","taxonomy","2978",NA,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","West Felicia Parish","Tunica","",30.92935,-91.5551,13.95,8.64,5.945,19.595,41.255,116.3,80.95,"Adult","Male",35.4729148753224,"Tyrannus_tyrannus"
"20",20,"Tyrannus_tyrannus","","migratory","taxonomy","3841",NA,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","East Baton Rouge","Baton Rouge","",30.45147,-91.1871,13.635,8.655,NA,18.005,39.91,119.18,81.08,"Adult","Male",33.4871622755496,"Tyrannus_tyrannus"
"21",21,"Tyrannus_forficatus","","migratory","taxonomy","4034",NA,"MM","Royal Ontario Museum","1892",3,"28","United States of America","Texas","Aransas County","Rockport","",28.03774,-97.0666,13.955,7.435,6.25,20.215,46.64,120.09,227.117,"Adult","Male",38.8375385127821,"Tyrannus_forficatus"
"26",26,"Tyrannus_savana","savana","migratory","taxonomy","4683",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1960",8,"20","Colombia","Vaupes","","Mitu","",1.252137,-70.2338,11.3,6.2,5.5,NA,NA,116,245,"Adult","Male",NA,"Tyrannus_savana_savana"
"28",28,"Tyrannus_vociferans","vociferans","partial","taxonomy","5357",NA,"MM","Louisiana State University Museum of tural Sciences","1941",4,"16","Mexico","Coahuila","","Saltillo","5300 feet",25.41942,-101.001,15.125,8.775,6.935,19.61,42.44,133.455,NA,"Adult","Male",31.8009816042861,"Tyrannus_vociferans_vociferans"
