"","X","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy","BillPC1","BillPC2","BodyPC1","BodyPC2"
"Tyrannus_albogularis",1,15.24,8.51,6.24,17.48,30.08,107.72,94.98,"migratory",-0.712361314945346,0.0748949475114015,38.7994928586261,4.75475289352084
"Tyrannus_caudifasciatus_bahamensis",2,20.24,9.47,7.59,22.45,25.98,109.28,85.69,"sedentary",4.36086805128176,1.54783687223209,48.2434494767276,4.30577178274891
"Tyrannus_caudifasciatus_caudifasciatus",3,19.41,8.87,7.21,22.58,24.21,104.94,86.19,"sedentary",3.31598629516982,1.70274398316784,47.7834428480307,9.13772491860529
"Tyrannus_caudifasciatus_caymanensis",4,21.76,9.46,7.42,22.58,22.11,104.14,89.05,"sedentary",5.5789625163639,2.4722281337634,45.0058327811161,10.665037815306
"Tyrannus_caudifasciatus_flavescens",5,20.03,8.51,7.18,22.88,23.94,106.21,84.25,"sedentary",3.63960693397033,2.30207575791572,49.7411026279515,7.80193212459416
"Tyrannus_caudifasciatus_gabbii",6,18.39,8.79,6.66,20.79,23.22,103.46,81.72,"sedentary",2.11330043243465,1.43031880384997,52.2722260682886,10.4563167648868
"Tyrannus_caudifasciatus_jamaicensis",7,19.89,9.11,7.03,21.7,22.46,99.82,84.42,"sedentary",3.71070969632814,1.86145975045689,49.6040100776988,14.3573307425864
"Tyrannus_caudifasciatus_taylori",8,20.49,9.96,7.83,23.74,24.91,113.54,92.51,"sedentary",4.78998116882346,1.24878183715362,41.4845544923574,0.642695066929445
"Tyrannus_couchii",9,16.54,10.08,7.52,19.45,31.17,116.75,94.85,"partial",1.64396460557924,-0.899410104561761,38.9884019452167,-3.74638406120068
"Tyrannus_crassirostris_crassirostris",10,19.28,12.31,10.07,20.2,37.08,128.5,98.69,"migratory",5.6564309731372,-2.08258840667744,34.839207333359,-20.6131980490585
"Tyrannus_crassirostris_pompalis",11,20.28,12.24,10.46,20.67,38.07,130.22,95.81,"migratory",6.56348964348737,-1.67892880268195,37.8329865220284,-19.0671724052347
"Tyrannus_cubensis",12,26.08,13.92,11.55,22.86,34.45,131.01,97.85,"sedentary",12.4193444560265,-0.197084120206,35.810896800279,-18.7994295576568
"Tyrannus_dominicensis_dominicensis",13,20.55,10.94,8.55,18.61,33.91,113.62,87.24,"migratory",5.63240144839176,0.29692301323521,46.3060911689224,-1.47252856463837
"Tyrannus_dominicensis_vorax",14,22.68,12.6,9.34,19.21,31.8,115.09,89.68,"sedentary",8.24525650210402,-0.0752503269540776,44.5020872075627,-3.50150021142002
"Tyrannus_forficatus",15,13.65,7.61,6.19,19.14,45.22,121.46,206.17,"migratory",-2.40226749454167,-0.138130726176597,-70.5486896490964,-12.3552683265725
"Tyrannus_melancholicus_despotes",16,17.66,9.69,7.54,17.83,32.37,109.84,93.58,"sedentary",2.3114488992085,-0.0488581658364229,40.066597611632,-2.27754253900401
"Tyrannus_melancholicus_melancholicus",17,17.52,9.71,7.44,18.09,31.34,114.11,93.28,"partial",2.18431285476216,-0.0220487516377175,40.2315648497799,-1.58269502480709
"Tyrannus_melancholicus_satrapa",18,17.65,9.87,7.27,19.09,29.39,112.73,92.88,"partial",2.25299786931425,-0.0236469381770577,41.0700425846514,0.167941004827118
"Tyrannus_niveigularis",19,14.68,8.51,6.05,18.16,25.22,101.72,77.28,"partial",-1.20657325533068,-0.181163434281218,56.5590143748919,11.7355224615828
"Tyrannus_savana_circumdatus",20,12.31,6.35,5.23,17.61,34.72,105.26,229.75,"sedentary",-4.39894127123148,0.466817576689772,-96.0637978753035,6.41115797343251
"Tyrannus_savana_monachus_CA",21,11.28,6.39,5.2,17.28,34.01,104.22,270.67,"sedentary",-5.26190610149088,-0.10069287234467,-143.079690157737,7.2223430032753
"Tyrannus_savana_monachus_SA",22,11.75,6.34,5.35,17.43,34.27,100.79,247.54,"sedentary",-4.82325640902218,0.0936871058282715,-123.888461502392,8.62674570607724
"Tyrannus_savana_sanctaemartae",23,12.04,6.08,5.29,17.58,36.39,105.5,239,"sedentary",-4.71119614597578,0.492668011247581,-129.345972475493,6.17163588269838
"Tyrannus_savana_savana",24,11.15,6.48,5.26,17.76,36.73,108.06,216.71,"migratory",-5.28244176384342,-0.311694597313011,-80.9549071761798,2.6564510822464
"Tyrannus_tyrannus",25,13.8,8.12,6.38,18.75,38.27,115.78,79.22,"migratory",-2.00634655179225,-0.470588973949617,53.9667577611666,-6.26601567382035
"Tyrannus_verticalis",26,13.38,7.68,6.45,19.43,41.34,125.98,90.04,"migratory",-2.52755646854992,-0.465643797569674,43.4021699550709,-16.1370390430283
"Tyrannus_vociferans_vociferans",27,14.95,8.54,6.88,19.76,38.88,128.58,90.5,"partial",-0.705362387451643,-0.370573784913924,43.1175871046233,-19.4679575424111
"Tyrannus_vociferans_xenopterus",28,14.8,8.21,6.56,19.91,39.87,130.19,91.77,"sedentary",-1.06841236772175,-0.076418224524127,40.8038112767621,-19.5469242181654
