"","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Age","Sex","tip.label"
"1","Tyrannus_savana","sanctaemartae","sedentary","taxonomy","70874","Nacho","American Museum of tural History","1899",1,"23","Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,11.7,6.2,5.1,17.15,31.9,99.5,NA,"Adult","Female","Tyrannus_savana_sanctaemartae"
"2","Tyrannus_savana","sanctaemartae","sedentary","taxonomy","756496","Nacho","American Museum of tural History","1899",1,"31","Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,12.4,6.4,5.8,17.3,31.2,101,NA,"Adult","Female","Tyrannus_savana_sanctaemartae"
"3","Tyrannus_savana","sanctaemartae","sedentary","taxonomy","97669","Nacho","American Museum of tural History","1899",2,"4","Colombia","","","Bonda Santa Marta","",11.26688,-74.1925,12.4,6.2,5.4,17.35,32.75,98,198,"Adult","Female","Tyrannus_savana_sanctaemartae"
"4","Tyrannus_tyrannus","","migratory","taxonomy","496087","Nacho","American Museum of tural History","1894",4,"","Venezuela","","","Merdida","",8.5,-71.166667,12.9,7.9,6.5,18.35,39.05,112,71,"Adult","Female","Tyrannus_tyrannus"
"5","Tyrannus_tyrannus","","migratory","taxonomy","496094","Nacho","American Museum of tural History","1866",1,"","United States of America","Maryland","","Maryland","",39,-76.8333,14.9,7.3,6.5,19.55,42.15,119.5,80,"Adult","Female","Tyrannus_tyrannus"
"6","Tyrannus_tyrannus","","migratory","taxonomy","116691","Nacho","American Museum of tural History","1912",4,"17","Colombia","Huila","","Near San Agust’n-Huila","5000 feet",3.463141,-74.7456,13.2,7.2,6.3,18.05,33.15,109.5,74,"Adult","Female","Tyrannus_tyrannus"
"7","Tyrannus_tyrannus","","migratory","taxonomy","131081","Nacho","American Museum of tural History","1893",6,"9","United States of America","Maryland","Baltimore County","Powhatan","",39.322884,-76.728306,13,7.6,6.4,18.4,35.95,110.5,77,"Adult","Female","Tyrannus_tyrannus"
"8","Tyrannus_savana","sanctaemartae","sedentary","taxonomy","97046","Nacho","American Museum of tural History","1898",9,"9","Colombia","","","Ciega de Santa Marta","",11.26688,-74.1925,11.9,6.1,5.5,17.25,NA,NA,NA,"Adult","Male","Tyrannus_savana_sanctaemartae"
"9","Tyrannus_savana","sanctaemartae","sedentary","taxonomy","97047","Nacho","American Museum of tural History","1899",9,"12","Colombia","","","Ciega de Santa Marta","",11.26688,-74.1925,12.1,6.1,4.9,17.05,NA,NA,177,"Adult","Male","Tyrannus_savana_sanctaemartae"
"10","Tyrannus_savana","sanctaemartae","sedentary","taxonomy","756490","Nacho","American Museum of tural History","",NA,"","Bolivia","","","","",-16.370087,-64.15918,12.2,6,5.1,17.35,NA,NA,194,"Adult","Male","Tyrannus_savana_sanctaemartae"
