"","Row.names","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy"
"1","Tyrannus_albogularis","37.05","15.03","8.74","6.5","17.68","26.96","102.46","87.06","26.34","migratory"
"2","Tyrannus_caudifasciatus_bahamensis","NaN","19.93","9.24","7.57","22.07","24.21","105.1","83.45","23","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus","NaN","19.36","8.92","7.32","22.37","21.74","101.49","83.87","21.41","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis","38.55","20.98","9.22","7.39","22.67","21","100.46","85.4","20.91","sedentary"
"5","Tyrannus_caudifasciatus_flavescens","NaN","19.84","8.42","7.18","22.26","22.94","102.78","83.44","22.32","sedentary"
"6","Tyrannus_caudifasciatus_gabbii","NaN","18.19","9.02","6.77","21.17","21.39","103.31","78.94","20.73","sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis","NaN","20.68","9.1","6.99","21.78","23.97","102.29","85.38","23.44","sedentary"
"8","Tyrannus_caudifasciatus_taylori","53.7","20.21","10.15","8.1","23.56","23.67","111.75","92.25","21.17","sedentary"
"9","Tyrannus_couchii","46.36","16.92","10.49","7.82","19.59","31.35","115.7","93.05","27.09","partial"
"10","Tyrannus_crassirostris_crassirostris","56.72","20.3","12.56","10.48","20.46","35.65","126.32","94.36","28.17","migratory"
"11","Tyrannus_crassirostris_pompalis","NaN","20.39","12.43","10.71","20.93","37.43","128.77","93.93","29.05","migratory"
"12","Tyrannus_cubensis","NaN","26.14","14.33","11.83","23.18","32.88","127.18","93.43","25.84","sedentary"
"13","Tyrannus_dominicensis_dominicensis","47.22","20.65","11.13","8.8","18.98","32.32","111.74","84.67","28.89","migratory"
"14","Tyrannus_dominicensis_vorax","50.87","22.91","12.6","9.34","19.55","30.88","113.44","89.29","27.22","sedentary"
"15","Tyrannus_forficatus","38.97","13.27","7.72","6.29","18.77","40.58","115.89","155.72","34.97","migratory"
"16","Tyrannus_melancholicus_despotes","NaN","17.38","9.78","7.38","17.69","28.04","104.7","87.14","26.8","sedentary"
"17","Tyrannus_melancholicus_melancholicus","43.13","17.43","9.76","7.61","18.27","29.56","110.83","90.53","26.65","partial"
"18","Tyrannus_melancholicus_satrapa","41.84","17.67","10.09","7.42","19.35","27.67","109.71","88.9","25.21","partial"
"19","Tyrannus_niveigularis","34.67","14.64","8.77","6.33","18.21","24.28","101.7","77.07","23.86","partial"
"20","Tyrannus_savana_circumdatus","NaN","11.48","6.29","5.01","17.49","30.74","100.03","182","30.73","sedentary"
"21","Tyrannus_savana_monachus_CA","25","11.19","6.76","5.23","17.64","30.01","97.43","184.66","30.78","sedentary"
"22","Tyrannus_savana_monachus_SA","26.48","11.46","6.36","5.33","17.15","31.68","100.67","191.39","31.9","sedentary"
"23","Tyrannus_savana_sanctaemartae","NaN","12.17","6.27","5.43","17.27","31.95","99.5","198","32.12","sedentary"
"24","Tyrannus_savana_savana","29.5","11.2","6.59","5.33","17.79","33.75","104.12","187.85","32.42","migratory"
"25","Tyrannus_tyrannus","40.57","13.57","8.08","6.51","18.75","36.38","113.44","78.85","32.06","migratory"
"26","Tyrannus_verticalis","43.8","13.28","7.85","6.73","19.5","36.71","119.56","85.2","30.56","migratory"
"27","Tyrannus_vociferans_vociferans","46.71","15.23","8.75","7.07","19.81","35.95","125.17","88.21","28.69","partial"
"28","Tyrannus_vociferans_xenopterus","NaN","14.64","8.57","6.72","19.65","32.11","120","89.12","26.75","sedentary"
