"","Row.names","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy"
"1","Tyrannus_albogularis","15.14","8.61","6.37","17.58","28.52","105.09","91.02","27.14","migratory"
"2","Tyrannus_caudifasciatus_bahamensis","20.19","9.45","7.52","22.3","25.34","107.99","84.94","23.46","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus","19.23","8.82","7.21","22.46","23.35","103.44","85.16","22.55","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis","21.63","9.42","7.41","22.6","21.81","103.13","87.96","21.12","sedentary"
"5","Tyrannus_caudifasciatus_flavescens","19.95","8.47","7.18","22.61","23.51","104.74","83.9","22.45","sedentary"
"6","Tyrannus_caudifasciatus_gabbii","18.28","8.89","6.7","20.97","22.48","103.07","80.71","21.8","sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis","20.22","9.11","7.07","21.79","22.98","100.65","83.59","22.81","sedentary"
"8","Tyrannus_caudifasciatus_taylori","20.38","10.02","7.91","23.65","24.4","112.59","92.19","21.66","sedentary"
"9","Tyrannus_couchii","16.47","10.17","7.63","19.46","31.19","116.08","93.86","26.85","partial"
"10","Tyrannus_crassirostris_crassirostris","19.93","12.5","10.36","20.36","36.46","127.05","95.37","28.65","migratory"
"11","Tyrannus_crassirostris_pompalis","20.28","12.32","10.56","20.79","37.64","129.41","95.11","29.06","migratory"
"12","Tyrannus_cubensis","26.13","14.18","11.72","23.02","33.78","129.21","96.09","26.12","sedentary"
"13","Tyrannus_dominicensis_dominicensis","20.42","10.96","8.55","18.73","33.1","112.65","86.28","29.34","migratory"
"14","Tyrannus_dominicensis_vorax","22.82","12.63","9.33","19.34","31.29","114.3","89.4","27.36","sedentary"
"15","Tyrannus_forficatus","13.49","7.64","6.23","19.07","42.47","118.29","181.93","35.75","migratory"
"16","Tyrannus_melancholicus_despotes","17.48","9.64","7.45","17.76","30.78","108.03","90.65","28.7","sedentary"
"17","Tyrannus_melancholicus_melancholicus","17.37","9.7","7.45","18.18","30.38","112.32","91.79","27.04","partial"
"18","Tyrannus_melancholicus_satrapa","17.59","9.93","7.31","19.19","28.4","110.88","90.67","25.59","partial"
"19","Tyrannus_niveigularis","14.67","8.6","6.14","18.22","24.91","101.58","77.12","24.5","partial"
"20","Tyrannus_savana_circumdatus","12.15","6.37","5.19","17.62","33.77","104","221.53","32.41","sedentary"
"21","Tyrannus_savana_monachus_CA","11.23","6.49","5.23","17.43","32.18","100.98","232.56","31.82","sedentary"
"22","Tyrannus_savana_monachus_SA","11.55","6.35","5.34","17.35","32.93","100.6","215.54","33.17","sedentary"
"23","Tyrannus_savana_sanctaemartae","11.98","6.15","5.31","17.56","34.73","102.06","234.44","33.57","sedentary"
"24","Tyrannus_savana_savana","11.11","6.5","5.28","17.72","35.21","104.97","202.94","33.3","migratory"
"25","Tyrannus_tyrannus","13.47","8.05","6.31","18.83","37.25","114.44","78.73","32.5","migratory"
"26","Tyrannus_verticalis","13.25","7.72","6.53","19.49","38.91","122.51","87.52","31.64","migratory"
"27","Tyrannus_vociferans_vociferans","15.01","8.63","6.96","19.79","37.27","126.74","89.56","30.04","partial"
"28","Tyrannus_vociferans_xenopterus","14.74","8.36","6.62","19.8","35.99","125.09","90.63","28.65","sedentary"
