OTU,Strategy
Tyrannus_albogularis,migratory
Tyrannus_caudifasciatus_bahamensis,sedentary
Tyrannus_caudifasciatus_caudifasciatus,sedentary
Tyrannus_caudifasciatus_caymanensis,sedentary
Tyrannus_caudifasciatus_flavescens,sedentary
Tyrannus_caudifasciatus_gabbii,sedentary
Tyrannus_caudifasciatus_jamaicensis,sedentary
Tyrannus_caudifasciatus_taylori,sedentary
Tyrannus_couchii,partial
Tyrannus_crassirostris_crassirostris,migratory
Tyrannus_crassirostris_pompalis,migratory
Tyrannus_cubensis,sedentary
Tyrannus_dominicensis_dominicensis,migratory
Tyrannus_dominicensis_vorax,sedentary
Tyrannus_forficatus,migratory
Tyrannus_melancholicus_despotes,sedentary
Tyrannus_melancholicus_melancholicus,partial
Tyrannus_melancholicus_satrapa,partial
Tyrannus_niveigularis,partial
Tyrannus_savana_circumdatus,sedentary
Tyrannus_savana_monachus_CA,sedentary
Tyrannus_savana_monachus_SA,sedentary
Tyrannus_savana_sanctaemartae,sedentary
Tyrannus_savana_savana,migratory
Tyrannus_tyrannus,migratory
Tyrannus_verticalis,migratory
Tyrannus_vociferans_vociferans,partial
Tyrannus_vociferans_xenopterus,sedentary
