"","X","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_albogularis",1,0.092217087679285,0.0486749636292128,0.0553128641878148,0.0587583487026653,0.0426950159515542,0.0801957946462701,0.0462490488483562,0.0636243161576235,0.0649474890752126,"migratory",-12.8615212518312,12.7077977408441,99.8219897103847,77.565879124556
"Tyrannus_caudifasciatus_bahamensis",2,NA,0.0425590513292932,0.0448618223176953,0.0481868982430403,0.0183203506856955,0.0720263886472556,0.0351592702874268,0.034326819834118,0.0507980588857131,"sedentary",-14.9225714434486,17.3735135787606,93.129528025975,81.1310827341974
"Tyrannus_caudifasciatus_caudifasciatus",3,NA,0.0462402651310848,0.0468974086708282,0.0451935343551999,0.0301844626870458,0.095939280681864,0.0264547210051864,0.0331228426074929,0.0765780645352881,"sedentary",-14.304598371899,16.9455899139505,93.535850521794,78.6283356089368
"Tyrannus_caudifasciatus_caymanensis",4,0.128473405519004,0.043220380214996,0.0266337300027328,0.0388830040832811,0.0275443647110672,0.0843123946998267,0.026871961063946,0.0429071164990306,0.067167528126888,"sedentary",-15.19193465088,18.8653574664048,95.6442239384058,78.6767182077154
"Tyrannus_caudifasciatus_flavescens",5,NA,0.0336441874845576,0.0256301587749927,0.0335322876121646,0.0208014598083893,0.0496132363935739,0.030923805256754,0.0286794310054098,0.0375920689450955,"sedentary",-13.9117098878849,17.3983164596708,91.9077293253908,79.4854397424006
"Tyrannus_caudifasciatus_gabbii",6,NA,0.0359114687986844,0.0467096570471588,0.053718079974944,0.0330309841045664,0.0720430857097201,0.0316511871905048,0.0319854220608299,0.0723362327318233,"sedentary",-13.7987105217688,15.7105946517138,88.5263525486688,78.8958262034046
"Tyrannus_caudifasciatus_jamaicensis",7,NA,0.0237082138695319,0.0344485629872264,0.048603506204291,0.0146403631473962,0.034281565038147,0.0260763397640504,0.032557111605064,0.0217090219110054,"sedentary",-14.8642316779584,18.2696713821153,93.6786283129963,76.9988135944308
"Tyrannus_caudifasciatus_taylori",8,0.0141674517839194,0.0427264748226551,0.0517145813917466,0.0433460194750342,0.0317639633225697,0.0660889566036973,0.0273849771878197,0.0251471792349699,0.0561408328897965,"sedentary",-15.6034125266112,17.4445181596769,101.137564879614,86.3665472176062
"Tyrannus_couchii",9,0.156616609965593,0.0556160920281151,0.0469807252337321,0.050920785798689,0.0374692309859588,0.0805829667220387,0.0462818496009255,0.0559015136593737,0.055461953148349,"partial",-15.2202965023533,13.9616186404109,103.59795612223,85.6797578378625
"Tyrannus_crassirostris_crassirostris",10,0.0312550287952761,0.0542853156534346,0.0454658359317546,0.0334859058521281,0.0371086512930222,0.100659395152839,0.0428814986510691,0.0438329359138076,0.0707364697897635,"migratory",-18.6375693907768,16.4463309940663,106.765277429643,93.2803794908326
"Tyrannus_crassirostris_pompalis",11,NA,0.0406614078680578,0.0592992782151301,0.0460742097311125,0.0373398672654854,0.0855560667350061,0.026568106150085,0.0363353407934959,0.0692353027363089,"migratory",-18.6350100291623,16.7614025492,105.740181064657,94.313194185129
"Tyrannus_cubensis",12,NA,0.0283964507058699,0.0343142384239366,0.0412258082607426,0.0335582660811003,0.0750496850663839,0.0283635822414697,0.0555895479582944,0.0622054459775045,"sedentary",-21.7836814552671,21.9969594199648,106.570570823062,96.2218568789873
"Tyrannus_dominicensis_dominicensis",13,0.0684235027404589,0.0487979443193599,0.0470655315668975,0.0593991122622683,0.0334224142126432,0.0775401292974388,0.0337960414182834,0.042866695024976,0.0545607347217288,"migratory",-16.8882411223131,17.5326369871868,95.6538010092014,81.6834080209091
"Tyrannus_dominicensis_vorax",14,0.0610613298477263,0.0466691185328311,0.0496373525336758,0.0576519532226894,0.03422475571289,0.0738700088844127,0.0335444071012512,0.0351329677026181,0.0519492710688218,"sedentary",-18.9573167119724,19.389766996647,99.2110316838368,84.3438854333038
"Tyrannus_forficatus",15,0.125651173534888,0.0455515721491902,0.0456389028599979,0.0449772324686947,0.0375755131760232,0.109698661474211,0.0419804372320836,0.204533247335552,0.0747745473799253,"migratory",-11.6621569762122,11.3639208077889,213.1650323895,82.1261678699939
"Tyrannus_melancholicus_despotes",16,NA,0.0485046965467656,0.0533160291244342,0.0598310110200086,0.05422522721797,0.0978303842619347,0.045317128252762,0.0445244690391396,0.0653838705492189,"sedentary",-14.7951780896237,14.7878800014023,101.044357927204,80.9476631640806
"Tyrannus_melancholicus_melancholicus",17,0.0989606092900664,0.0486495844116768,0.0437316332073132,0.0573971637592112,0.043405233887958,0.0854070617525043,0.0317532325589204,0.0458845796083344,0.0745026552209784,"partial",-14.7461248562932,14.8260140164676,102.291015886997,83.5832669806075
"Tyrannus_melancholicus_satrapa",18,0.124543554431699,0.0586795646225903,0.0572703384376232,0.0525423796653981,0.0478091316193776,0.0793108438514056,0.0374484564197696,0.0496514669567922,0.0561855437388531,"partial",-14.9040548361944,14.8840548135112,99.8556524649183,82.7222470046285
